"108年11月 3008 大立光           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/11/01","376,992","1,684,459,440","4,485.00","4,505.00","4,435.00","4,460.00","-10.00","511",
"108/11/04","720,531","3,278,081,050","4,540.00","4,575.00","4,515.00","4,570.00","+110.00","916",
"108/11/05","738,015","3,410,389,000","4,600.00","4,680.00","4,560.00","4,615.00","+45.00","1,034",
"108/11/06","957,596","4,474,555,240","4,655.00","4,710.00","4,625.00","4,700.00","+85.00","1,296",
"108/11/07","784,072","3,636,659,800","4,700.00","4,700.00","4,595.00","4,665.00","-35.00","919",
"108/11/08","707,692","3,354,293,160","4,715.00","4,770.00","4,690.00","4,760.00","+95.00","883",
"108/11/11","809,714","3,792,055,120","4,750.00","4,790.00","4,595.00","4,605.00","-155.00","1,033",
"108/11/12","522,276","2,381,427,180","4,630.00","4,635.00","4,525.00","4,540.00","-65.00","696",
"108/11/13","341,925","1,553,823,887","4,515.00","4,580.00","4,510.00","4,520.00","-20.00","408",
"108/11/14","412,278","1,853,450,440","4,555.00","4,555.00","4,465.00","4,470.00","-50.00","531",
"108/11/15","258,255","1,163,960,050","4,515.00","4,545.00","4,490.00","4,500.00","+30.00","333",
"108/11/18","316,064","1,423,973,640","4,515.00","4,530.00","4,490.00","4,505.00","+5.00","354",
"108/11/19","414,095","1,866,170,731","4,505.00","4,540.00","4,490.00","4,500.00","-5.00","438",
"108/11/20","427,537","1,914,050,760","4,535.00","4,545.00","4,410.00","4,435.00","-65.00","481",
"108/11/21","769,128","3,314,432,750","4,375.00","4,375.00","4,280.00","4,305.00","-130.00","945",
"108/11/22","315,205","1,367,135,850","4,345.00","4,355.00","4,310.00","4,345.00","+40.00","383",
"108/11/25","493,924","2,189,286,040","4,375.00","4,485.00","4,355.00","4,460.00","+115.00","655",
"108/11/26","691,393","3,077,151,315","4,480.00","4,505.00","4,435.00","4,435.00","-25.00","570",
"108/11/27","276,972","1,243,974,000","4,435.00","4,530.00","4,420.00","4,530.00","+95.00","402",
"108/11/28","359,052","1,616,096,920","4,530.00","4,530.00","4,470.00","4,485.00","-45.00","399",
"108/11/29","279,115","1,247,094,450","4,510.00","4,520.00","4,435.00","4,435.00","-50.00","379",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

