"108年08月 3034 聯詠             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/08/01","3,678,800","612,491,400","164.00","168.00","164.00","168.00","+2.00","2,604",
"108/08/02","6,166,208","1,012,988,528","164.50","166.00","162.00","164.50","-3.50","3,611",
"108/08/05","8,325,648","1,322,885,844","163.50","164.50","156.50","157.00","-7.50","5,791",
"108/08/06","7,887,051","1,222,666,109","150.50","160.00","150.00","157.00"," 0.00","5,234",
"108/08/07","13,328,322","2,183,744,130","165.50","167.50","161.00","163.50","+6.50","7,834",
"108/08/08","7,957,956","1,309,425,696","161.50","166.50","161.00","165.00","+1.50","4,755",
"108/08/12","4,951,894","823,609,298","165.50","167.50","164.00","166.00","+1.00","3,217",
"108/08/13","6,307,785","1,021,213,774","164.00","164.00","161.00","161.00","-5.00","4,248",
"108/08/14","5,340,345","877,236,080","164.00","166.00","163.00","163.50","+2.50","3,845",
"108/08/15","3,350,320","541,621,817","159.50","163.00","159.00","162.50","-1.00","2,511",
"108/08/16","4,716,115","779,732,475","164.00","167.00","163.00","165.00","+2.50","3,227",
"108/08/19","11,846,311","2,030,481,803","167.00","174.00","165.50","173.00","+8.00","7,987",
"108/08/20","12,002,999","2,087,329,817","175.00","175.00","171.50","174.50","+1.50","7,077",
"108/08/21","6,196,739","1,065,706,825","173.00","174.00","170.00","171.50","-3.00","4,079",
"108/08/22","10,156,825","1,762,774,306","173.00","177.00","172.00","172.50","+1.00","5,392",
"108/08/23","9,014,838","1,572,878,312","172.00","176.00","171.00","174.00","+1.50","5,676",
"108/08/26","7,997,916","1,361,645,720","169.50","172.50","168.00","169.00","-5.00","5,263",
"108/08/27","9,393,245","1,610,329,262","172.00","173.50","170.00","170.50","+1.50","5,202",
"108/08/28","7,805,497","1,349,435,978","171.50","174.50","170.50","174.50","+4.00","5,112",
"108/08/29","20,066,969","3,619,022,389","176.00","185.00","176.00","181.00","+6.50","12,302",
"108/08/30","19,193,203","3,600,517,339","183.50","189.50","183.50","186.00","+5.00","11,580",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

