"107年09月 3037 欣興             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/09/03","14,736,580","262,977,737","17.75","18.10","17.55","17.75","+0.15","4,531",
"107/09/04","41,611,498","758,078,207","18.25","18.50","17.90","18.10","+0.35","11,369",
"107/09/05","20,553,077","375,465,489","18.30","18.40","18.15","18.20","+0.10","6,654",
"107/09/06","19,162,274","348,975,089","18.35","18.45","18.00","18.00","-0.20","6,313",
"107/09/07","15,314,013","271,155,973","17.95","18.00","17.50","17.60","-0.40","4,342",
"107/09/10","17,544,031","298,714,424","17.55","17.60","16.65","16.90","-0.70","5,614",
"107/09/11","14,183,721","247,509,956","17.30","17.70","17.10","17.70","+0.80","5,153",
"107/09/12","26,865,119","482,808,064","17.80","18.20","17.65","18.15","+0.45","7,931",
"107/09/13","32,234,054","589,217,424","18.15","18.60","17.95","18.15"," 0.00","9,481",
"107/09/14","54,478,091","1,019,719,050","18.45","19.00","18.25","19.00","+0.85","15,116",
"107/09/17","144,095,373","2,881,982,122","19.45","20.45","19.40","20.05","+1.05","35,202",
"107/09/18","67,753,686","1,352,619,579","19.70","20.45","19.60","19.85","-0.20","17,728",
"107/09/19","44,939,767","904,716,846","20.30","20.60","19.70","19.70","-0.15","11,948",
"107/09/20","27,976,044","556,279,507","19.75","20.15","19.70","19.75","+0.05","9,366",
"107/09/21","56,805,452","1,084,907,970","19.80","19.95","18.60","19.10","-0.65","15,741",
"107/09/25","45,713,832","908,479,317","19.30","20.30","19.20","20.30","+1.20","12,462",
"107/09/26","23,969,088","479,647,960","20.00","20.20","19.80","20.00","-0.30","7,309",
"107/09/27","25,926,248","512,883,926","20.00","20.20","19.40","19.55","-0.45","7,548",
"107/09/28","63,013,202","1,275,928,987","20.00","20.55","19.85","20.05","+0.50","16,181",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

