"105年06月 3049 和鑫             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/06/01","2,944,705","17,150,486","5.69","5.90","5.68","5.82","+0.13","968",
"105/06/02","1,931,772","11,192,095","5.87","5.90","5.71","5.72","-0.10","748",
"105/06/03","1,466,441","8,411,162","5.73","5.82","5.70","5.71","-0.01","714",
"105/06/04","1,580,124","9,271,464","5.71","5.96","5.71","5.89","+0.18","488",
"105/06/06","2,138,750","12,483,143","5.95","5.96","5.73","5.82","-0.07","681",
"105/06/07","1,844,188","10,767,812","5.89","5.92","5.78","5.80","-0.02","708",
"105/06/08","992,213","5,718,695","5.82","5.82","5.71","5.76","-0.04","395",
"105/06/13","1,974,695","10,912,683","5.70","5.70","5.44","5.48","-0.28","596",
"105/06/14","921,814","5,095,804","5.42","5.59","5.42","5.56","+0.08","435",
"105/06/15","1,402,416","7,768,101","5.56","5.60","5.49","5.53","-0.03","556",
"105/06/16","1,646,442","9,118,345","5.51","5.57","5.50","5.57","+0.04","478",
"105/06/17","1,117,280","6,280,492","5.57","5.67","5.57","5.62","+0.05","440",
"105/06/20","1,622,269","9,215,804","5.63","5.73","5.63","5.71","+0.09","582",
"105/06/21","6,884,683","42,271,893","5.87","6.28","5.77","6.28","+0.57","1,524",
"105/06/22","5,994,899","38,723,059","6.27","6.70","6.25","6.56","+0.28","1,558",
"105/06/23","4,203,860","27,983,251","6.52","6.85","6.40","6.73","+0.17","1,075",
"105/06/24","5,869,030","38,466,871","6.75","6.88","6.29","6.50","-0.23","1,265",
"105/06/27","2,761,547","17,955,906","6.49","6.58","6.45","6.48","-0.02","679",
"105/06/28","1,875,757","12,030,084","6.48","6.50","6.37","6.38","-0.10","459",
"105/06/29","1,380,792","8,981,703","6.49","6.59","6.44","6.46","+0.08","414",
"105/06/30","1,540,960","9,924,165","6.47","6.50","6.40","6.45","-0.01","429",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

