"10304る 3189 春河             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/04/01","2,889,772","322,889,573","113.50","113.50","110.50","111.50","-1.50","1,601",
"103/04/02","8,207,587","933,417,831","113.50","115.50","112.00","112.00","+0.50","3,678",
"103/04/03","2,404,639","270,082,568","112.50","113.50","111.50","112.00"," 0.00","1,467",
"103/04/07","2,020,250","226,149,750","111.50","113.00","110.50","113.00","+1.00","1,343",
"103/04/08","2,975,365","332,353,745","113.00","113.50","110.50","112.00","-1.00","1,405",
"103/04/09","7,514,724","875,070,984","115.00","118.00","114.00","116.00","+4.00","3,478",
"103/04/10","4,629,230","530,567,601","116.50","117.50","113.50","113.50","-2.50","2,105",
"103/04/11","2,713,350","304,477,700","112.50","113.00","111.50","112.00","-1.50","1,641",
"103/04/14","2,015,764","227,915,948","112.00","114.00","112.00","112.50","+0.50","1,012",
"103/04/15","3,690,487","426,748,992","113.50","117.00","113.50","116.00","+3.50","2,373",
"103/04/16","2,859,237","329,988,492","116.00","117.00","113.50","116.00"," 0.00","1,519",
"103/04/17","3,177,958","370,380,605","117.00","117.50","115.50","116.50","+0.50","2,082",
"103/04/18","2,550,075","293,628,585","117.50","118.00","113.50","114.50","-2.00","1,560",
"103/04/21","1,835,060","209,650,348","114.50","115.00","113.50","115.00","+0.50","1,680",
"103/04/22","3,004,625","341,146,375","114.50","114.50","113.00","114.00","-1.00","1,876",
"103/04/23","3,109,050","353,921,174","114.00","115.00","112.50","113.50","-0.50","1,338",
"103/04/24","2,730,707","307,240,684","114.00","114.50","112.00","112.00","-1.50","1,522",
"103/04/25","5,295,422","581,092,974","111.00","112.50","108.00","111.00","-1.00","1,836",
"103/04/28","3,473,346","386,145,922","109.00","113.00","109.00","113.00","+2.00","1,712",
"103/04/29","3,252,297","370,400,358","114.00","115.00","112.50","114.00","+1.00","1,834",
"103/04/30","2,199,290","251,378,560","115.00","115.50","113.00","114.00"," 0.00","1,028",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

