"110年05月 3189 景碩             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","10,409,397","1,056,037,083","104.50","105.50","99.90","102.00","-3.50","5,658",
"110/05/04","11,987,364","1,171,533,473","103.50","104.50","93.60","97.60","-4.40","7,175",
"110/05/05","7,970,330","777,874,200","98.00","100.50","95.00","95.00","-2.60","5,081",
"110/05/06","9,420,908","919,662,645","96.00","101.00","95.00","95.50","+0.50","6,347",
"110/05/07","10,782,843","1,078,054,004","97.20","102.00","97.20","100.50","+5.00","5,568",
"110/05/10","7,559,691","735,624,895","101.50","102.50","95.50","96.20","-4.30","5,536",
"110/05/11","12,764,164","1,167,072,192","93.50","97.30","87.30","88.00","-8.20","7,602",
"110/05/12","17,016,547","1,479,515,303","90.00","93.00","80.10","87.40","-0.60","10,849",
"110/05/13","12,623,157","1,107,153,526","86.00","90.40","83.00","86.10","-1.30","7,307",
"110/05/14","11,587,834","1,058,131,851","89.00","94.60","88.20","89.20","+3.10","7,523",
"110/05/17","17,704,770","1,616,162,432","84.50","95.00","84.50","90.20","+1.00","11,610",
"110/05/18","17,189,404","1,613,710,133","94.70","96.00","91.40","94.20","+4.00","10,892",
"110/05/19","5,148,140","484,326,299","93.50","95.50","92.80","94.00","-0.20","3,475",
"110/05/20","11,366,730","1,025,246,952","92.80","94.00","88.10","88.20","-5.80","7,520",
"110/05/21","13,456,317","1,250,112,197","90.30","95.20","89.10","94.40","+6.20","8,764",
"110/05/24","8,599,252","811,852,571","93.60","96.40","93.20","96.00","+1.60","5,273",
"110/05/25","15,041,638","1,536,567,630","97.50","105.50","96.40","104.50","+8.50","9,444",
"110/05/26","13,513,319","1,426,237,548","105.50","109.00","101.50","104.50"," 0.00","8,737",
"110/05/27","9,169,962","941,218,564","103.00","105.50","100.00","103.00","-1.50","5,851",
"110/05/28","7,884,126","823,852,267","104.50","107.00","102.50","104.50","+1.50","4,667",
"110/05/31","15,500,779","1,688,260,117","106.00","111.50","105.50","109.50","+5.00","9,238",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

