"10312る 3356 案             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/12/01","406,058","41,086,886","100.00","102.50","100.00","101.00","-1.50","203",
"103/12/02","421,100","42,793,300","101.00","102.50","101.00","101.50","+0.50","179",
"103/12/03","839,300","86,770,200","102.00","104.50","102.00","103.00","+1.50","368",
"103/12/04","339,170","34,989,010","104.00","105.00","102.50","102.50","-0.50","262",
"103/12/05","907,193","95,067,265","102.50","106.50","102.50","105.00","+2.50","748",
"103/12/08","518,034","54,087,570","105.00","106.00","103.50","103.50","-1.50","398",
"103/12/09","712,102","74,493,608","103.50","106.00","103.50","103.50"," 0.00","527",
"103/12/10","304,802","31,507,809","103.50","104.00","102.50","103.00","-0.50","223",
"103/12/11","265,325","27,331,133","103.00","104.00","102.50","102.50","-0.50","213",
"103/12/12","186,340","19,347,690","105.00","105.00","103.00","103.50","+1.00","168",
"103/12/15","108,968","11,246,672","102.50","104.00","102.50","103.50"," 0.00","97",
"103/12/16","373,236","38,962,658","103.50","106.00","103.00","104.00","+0.50","293",
"103/12/17","163,016","16,961,152","105.00","105.50","103.50","103.50","-0.50","161",
"103/12/18","120,017","12,475,757","105.00","105.00","103.50","103.50"," 0.00","101",
"103/12/19","248,432","25,810,996","104.50","105.00","103.00","103.00","-0.50","228",
"103/12/22","158,662","16,520,848","104.00","104.50","103.50","104.00","+1.00","152",
"103/12/23","772,831","82,122,998","105.00","107.00","104.50","106.50","+2.50","602",
"103/12/24","340,779","36,259,574","107.00","107.50","105.50","106.00","-0.50","294",
"103/12/25","864,119","93,772,352","106.00","110.50","106.00","108.00","+2.00","709",
"103/12/26","390,119","41,801,670","108.50","108.50","106.50","106.50","-1.50","329",
"103/12/27","517,191","56,282,217","107.00","110.00","107.00","109.00","+2.50","408",
"103/12/29","385,098","42,090,629","109.00","110.00","108.50","109.00"," 0.00","305",
"103/12/30","302,459","32,738,336","109.00","110.00","107.50","107.50","-1.50","267",
"103/12/31","141,888","15,340,344","107.00","108.50","107.00","108.00","+0.50","130",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

