"107年10月 3356 奇偶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/10/01","178,244","5,069,427","28.10","28.95","28.10","28.20","+0.20","153",
"107/10/02","122,642","3,412,352","28.20","28.20","27.50","27.60","-0.60","106",
"107/10/03","196,107","5,365,039","27.60","27.65","27.20","27.20","-0.40","116",
"107/10/04","110,272","2,995,818","27.25","27.40","26.95","26.95","-0.25","101",
"107/10/05","262,561","6,862,586","26.95","26.95","25.60","25.95","-1.00","203",
"107/10/08","152,491","3,922,410","25.65","26.05","25.60","25.70","-0.25","128",
"107/10/09","174,076","4,464,800","25.75","25.95","25.50","25.50","-0.20","132",
"107/10/11","328,932","7,551,477","22.95","23.20","22.95","22.95","-2.55","218",
"107/10/12","667,782","14,178,423","21.50","22.10","20.75","21.40","-1.55","434",
"107/10/15","197,057","4,243,223","22.15","22.15","21.30","21.55","+0.15","150",
"107/10/16","173,405","3,764,145","21.40","22.05","21.40","21.50","-0.05","139",
"107/10/17","359,156","7,858,399","21.80","23.10","21.35","21.50"," 0.00","268",
"107/10/18","359,213","7,655,131","21.95","21.95","21.05","21.10","-0.40","206",
"107/10/19","420,511","8,569,892","20.75","20.85","20.15","20.40","-0.70","297",
"107/10/22","232,738","4,909,309","20.50","21.50","20.50","21.50","+1.10","219",
"107/10/23","305,440","6,627,458","21.30","22.20","21.25","21.50"," 0.00","201",
"107/10/24","167,363","3,567,653","21.50","21.80","21.00","21.50"," 0.00","120",
"107/10/25","348,379","7,012,411","20.35","21.00","19.35","20.20","-1.30","280",
"107/10/26","342,140","6,788,400","20.45","20.50","19.35","19.35","-0.85","253",
"107/10/29","155,523","3,019,488","19.30","19.85","19.20","19.20","-0.15","114",
"107/10/30","157,832","3,007,695","19.40","19.50","18.80","19.05","-0.15","124",
"107/10/31","176,992","3,468,936","19.25","19.80","19.25","19.65","+0.60","152",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

