"111年02月 3481 群創             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/02/07","76,333,406","1,310,402,573","17.20","17.40","17.00","17.35","+0.40","15,758",
"111/02/08","63,594,172","1,094,983,318","17.35","17.35","17.10","17.20","-0.15","17,614",
"111/02/09","146,501,671","2,599,869,203","17.65","18.00","17.55","17.80","+0.60","30,692",
"111/02/10","84,135,232","1,494,224,420","17.90","18.00","17.55","17.75","-0.05","20,704",
"111/02/11","68,233,494","1,186,117,428","17.35","17.50","17.30","17.40","-0.35","27,130",
"111/02/14","86,722,104","1,466,341,282","17.00","17.00","16.80","16.90","-0.50","24,905",
"111/02/15","106,337,927","1,791,517,038","16.95","17.00","16.70","16.70","-0.20","37,241",
"111/02/16","94,996,766","1,598,863,275","17.00","17.00","16.70","16.80","+0.10","166,702",
"111/02/17","64,865,410","1,095,742,105","16.90","17.00","16.75","16.90","+0.10","103,055",
"111/02/18","54,631,782","916,756,272","16.75","16.90","16.65","16.80","-0.10","31,905",
"111/02/21","141,982,081","2,415,691,521","16.75","17.30","16.60","17.25","+0.45","31,293",
"111/02/22","101,109,286","1,703,492,512","17.05","17.10","16.65","16.90","-0.35","80,737",
"111/02/23","53,593,755","910,754,246","17.05","17.10","16.90","16.95","+0.05","11,837",
"111/02/24","83,936,675","1,404,519,123","16.90","16.95","16.60","16.65","-0.30","23,160",
"111/02/25","83,190,090","1,387,332,748","16.80","16.85","16.55","16.75","+0.10","19,935",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

