"111年07月 3711 日月光投控       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/07/01","19,976,993","1,510,814,362","77.00","77.80","74.40","74.50","-1.90","12,515",
"111/07/04","20,039,725","1,479,684,386","74.10","74.70","73.20","74.00","-0.50","9,274",
"111/07/05","12,753,560","947,665,015","75.70","76.30","73.00","74.80","+0.80","8,216",
"111/07/06","12,043,969","886,937,709","75.50","75.60","72.90","73.10","-1.70","8,404",
"111/07/07","14,746,512","1,086,330,966","73.60","75.20","71.40","74.60","+1.50","9,143",
"111/07/08","9,419,265","715,788,376","75.70","76.70","75.20","76.10","+1.50","8,141",
"111/07/11","6,307,559","479,178,394","76.80","77.00","75.40","75.80","-0.30","5,608",
"111/07/12","7,963,606","587,426,540","74.60","74.70","73.10","73.80","-2.00","5,354",
"111/07/13","9,595,875","727,887,355","75.70","76.40","75.20","76.20","+2.40","5,057",
"111/07/14","13,239,180","1,030,744,363","75.90","78.90","75.40","78.40","+2.20","8,582",
"111/07/15","11,478,822","907,178,365","78.50","79.50","78.00","79.20","+0.80","8,794",
"111/07/18","13,342,698","1,074,592,632","79.40","81.60","79.00","81.10","+1.90","9,189",
"111/07/19","9,767,642","802,239,014","80.40","82.70","80.10","82.60","+1.50","8,912",
"111/07/20","12,256,005","1,026,661,182","83.50","84.50","82.80","83.40","+0.80","12,669",
"111/07/21","12,165,644","1,031,025,882","83.70","85.70","83.70","85.70","+2.30","7,366",
"111/07/22","10,999,315","936,730,871","85.80","85.90","84.60","85.20","-0.50","12,343",
"111/07/25","5,856,762","496,712,336","84.90","85.40","84.20","84.60","-0.60","5,489",
"111/07/26","6,574,917","552,583,953","84.90","84.90","83.50","83.70","-0.90","6,274",
"111/07/27","8,081,504","678,104,763","84.10","85.10","82.60","85.10","+1.40","7,577",
"111/07/28","19,829,985","1,723,078,300","86.60","87.80","85.60","87.80","+2.70","10,771",
"111/07/29","18,911,994","1,635,906,358","86.80","87.30","86.00","86.40","-1.40","18,550",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

