"100年10月 4133 亞諾法           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"100/10/03","70,000","3,579,000","51.50","51.60","50.60","50.60","-1.50","50",
"100/10/04","47,000","2,343,300","49.00","50.70","49.00","50.40","-0.20","39",
"100/10/05","65,000","3,256,850","51.30","51.30","49.70","49.90","-0.50","55",
"100/10/06","56,100","2,855,900","51.20","51.60","50.20","50.70","+0.80","48",
"100/10/07","74,000","3,794,400","51.50","51.50","50.90","51.30","+0.60","53",
"100/10/11","64,000","3,345,100","51.80","52.70","51.80","52.50","+1.20","56",
"100/10/12","31,034","1,610,236","52.00","52.40","51.50","52.40","-0.10","31",
"100/10/13","146,200","7,807,539","52.60","54.00","52.60","53.20","+0.80","123",
"100/10/14","53,162","2,815,753","53.00","53.80","52.10","52.60","-0.60","52",
"100/10/17","155,000","8,342,800","53.00","54.60","52.70","54.00","+1.40","100",
"100/10/18","51,000","2,703,200","53.00","53.70","52.60","53.20","-0.80","38",
"100/10/19","78,000","4,152,100","53.70","54.00","52.70","52.70","-0.50","52",
"100/10/20","25,000","1,311,000","52.60","52.80","52.20","52.40","-0.30","23",
"100/10/21","50,001","2,603,956","52.40","52.80","51.60","52.70","+0.30","36",
"100/10/24","64,184","3,410,552","53.50","53.80","52.80","53.00","+0.30","52",
"100/10/25","90,000","4,792,400","54.00","54.00","52.70","53.50","+0.50","54",
"100/10/26","64,000","3,415,000","53.50","54.00","53.00","54.00","+0.50","45",
"100/10/27","312,000","17,214,800","54.00","55.80","53.90","55.80","+1.80","239",
"100/10/28","177,000","9,817,500","56.30","56.40","54.50","54.60","-1.20","132",
"100/10/31","103,100","5,704,360","54.60","55.70","54.60","55.60","+1.00","81",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

