"109年09月 4906 正文             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/09/01","8,098,954","226,512,913","28.00","28.30","27.60","27.90","+0.15","3,747",
"109/09/02","7,953,527","223,199,524","28.05","28.30","27.65","28.20","+0.30","3,306",
"109/09/03","7,750,707","217,297,248","28.25","28.50","27.80","27.80","-0.40","3,226",
"109/09/04","6,589,478","178,859,948","27.25","27.40","26.55","27.20","-0.60","2,895",
"109/09/07","5,025,051","136,415,153","27.35","27.70","26.60","26.80","-0.40","2,379",
"109/09/08","5,095,388","137,208,532","26.95","27.30","26.55","27.30","+0.50","2,010",
"109/09/09","5,092,135","139,743,330","27.25","27.75","27.10","27.35","+0.05","2,118",
"109/09/10","3,031,002","83,149,251","27.50","27.60","27.25","27.25","-0.10","1,341",
"109/09/11","4,648,819","124,411,929","27.10","27.25","26.50","26.55","-0.70","1,998",
"109/09/14","2,090,458","56,317,016","26.60","27.20","26.60","27.15","+0.60","917",
"109/09/15","1,928,248","52,325,246","27.10","27.40","27.00","27.00","-0.15","1,070",
"109/09/16","10,351,610","288,131,121","27.30","28.20","27.20","27.85","+0.85","4,512",
"109/09/17","4,862,940","136,030,956","27.80","28.20","27.60","28.10","+0.25","2,283",
"109/09/18","21,446,362","606,248,864","28.30","29.00","27.50","27.55","-0.55","8,619",
"109/09/21","4,123,969","113,852,339","27.70","27.95","27.35","27.70","+0.15","1,741",
"109/09/22","6,647,634","179,164,237","27.55","27.80","26.65","26.80","-0.90","2,864",
"109/09/23","3,168,043","84,682,355","26.95","27.10","26.55","26.65","-0.15","1,268",
"109/09/24","6,943,913","180,115,298","26.20","26.60","25.60","25.60","-1.05","2,480",
"109/09/25","3,910,200","100,147,199","25.90","26.25","25.05","25.25","-0.35","1,661",
"109/09/28","1,687,852","43,316,047","25.55","25.90","25.35","25.65","+0.40","699",
"109/09/29","2,041,647","52,252,713","25.85","26.15","25.25","25.45","-0.20","880",
"109/09/30","1,178,997","30,169,918","25.50","25.75","25.40","25.70","+0.25","425",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

