"110年02月 4916 事欣科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/02/01","422,334","9,401,317","23.15","23.25","21.40","22.35","-0.95","285",
"110/02/02","141,018","3,146,379","22.35","22.55","22.20","22.20","-0.15","120",
"110/02/03","150,564","3,351,966","22.20","22.60","22.00","22.40","+0.20","129",
"110/02/04","82,339","1,852,093","22.40","22.70","22.20","22.55","+0.15","88",
"110/02/05","169,399","3,789,316","22.80","22.80","22.20","22.20","-0.35","142",
"110/02/17","205,968","4,627,829","22.35","22.70","22.30","22.65","+0.45","167",
"110/02/18","434,872","10,196,576","22.65","23.95","22.65","23.60","+0.95","337",
"110/02/19","435,369","10,435,333","23.85","24.50","23.65","24.15","+0.55","272",
"110/02/22","381,363","9,322,739","24.35","24.70","24.20","24.40","+0.25","272",
"110/02/23","231,311","5,655,801","24.60","24.60","24.35","24.50","+0.10","182",
"110/02/24","848,573","21,131,572","24.95","25.35","24.50","24.50"," 0.00","491",
"110/02/25","167,162","4,086,624","24.50","24.70","24.30","24.40","-0.10","164",
"110/02/26","287,743","6,899,360","24.50","24.50","23.85","24.00","-0.40","213",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

