"10201る 4919 穝             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/01/02","2,366,900","78,327,750","32.30","33.60","32.10","33.35","+1.55","1,468",
"102/01/03","3,861,480","132,153,679","34.10","35.20","33.00","34.70","+1.35","2,002",
"102/01/04","1,864,210","63,593,804","34.50","34.60","33.80","34.00","-0.70","1,075",
"102/01/07","771,035","26,200,369","34.00","34.35","33.55","34.35","+0.35","482",
"102/01/08","612,690","20,843,170","34.35","34.60","33.65","33.70","-0.65","405",
"102/01/09","748,000","25,038,200","33.50","33.90","33.10","33.20","-0.50","436",
"102/01/10","1,094,100","36,994,474","33.30","34.15","33.30","33.45","+0.25","554",
"102/01/11","630,000","21,325,000","33.95","34.00","33.70","33.75","+0.30","339",
"102/01/14","417,000","14,017,100","33.50","33.95","33.45","33.70","-0.05","238",
"102/01/15","722,400","24,488,500","33.80","34.20","33.60","34.00","+0.30","405",
"102/01/16","3,499,355","123,731,366","35.60","35.80","35.00","35.00","+1.00","1,959",
"102/01/17","1,564,520","53,324,033","35.10","35.35","32.70","33.05","-1.95","858",
"102/01/18","795,983","26,946,124","33.80","34.20","33.40","34.00","+0.95","497",
"102/01/21","390,270","13,268,884","34.00","34.40","33.40","34.20","+0.20","226",
"102/01/22","540,960","18,574,628","34.70","34.70","34.05","34.50","+0.30","300",
"102/01/23","738,550","25,627,280","34.70","34.95","34.35","34.50"," 0.00","446",
"102/01/24","2,820,724","99,844,459","34.30","35.85","34.15","35.85","+1.35","1,389",
"102/01/25","2,316,934","82,272,780","35.95","36.45","34.70","35.05","-0.80","1,202",
"102/01/28","1,999,474","71,325,441","35.15","36.20","35.00","36.00","+0.95","1,010",
"102/01/29","2,907,180","105,812,357","36.20","37.20","35.60","35.60","-0.40","1,528",
"102/01/30","1,092,131","39,077,716","35.65","36.10","35.40","35.80","+0.20","570",
"102/01/31","1,773,920","64,356,672","36.20","36.85","35.50","36.80","+1.00","1,002",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

