"107年01月 4919 新唐             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/01/02","1,798,847","114,314,511","64.00","64.40","62.50","64.10","+0.10","1,254",
"107/01/03","1,904,570","123,301,563","65.00","65.60","64.00","64.50","+0.40","1,234",
"107/01/04","6,342,195","429,113,360","65.20","69.90","64.90","67.70","+3.20","4,148",
"107/01/05","2,470,110","166,259,767","68.00","68.50","65.60","67.40","-0.30","1,678",
"107/01/08","1,905,113","126,397,713","68.50","68.50","65.00","65.00","-2.40","1,325",
"107/01/09","1,116,500","72,701,147","65.00","65.90","64.50","65.00"," 0.00","785",
"107/01/10","1,671,330","106,571,520","64.80","65.50","63.00","63.40","-1.60","1,076",
"107/01/11","656,845","41,945,549","64.30","64.30","63.30","64.20","+0.80","470",
"107/01/12","2,182,940","144,008,432","64.70","67.20","64.70","65.90","+1.70","1,388",
"107/01/15","1,995,898","133,896,966","66.20","68.30","66.00","67.30","+1.40","1,369",
"107/01/16","1,441,480","96,130,007","66.90","67.40","66.10","66.80","-0.50","1,033",
"107/01/17","1,003,150","66,775,950","66.80","67.30","66.00","66.20","-0.60","754",
"107/01/18","2,354,404","157,898,888","66.80","68.10","66.20","68.10","+1.90","1,549",
"107/01/19","6,418,483","445,140,903","69.00","70.90","67.20","67.20","-0.90","4,292",
"107/01/22","2,120,526","140,555,725","67.00","67.60","65.50","66.20","-1.00","1,562",
"107/01/23","1,969,000","131,132,900","66.90","67.50","65.60","65.80","-0.40","1,418",
"107/01/24","1,349,300","88,807,349","66.00","66.60","65.40","65.70","-0.10","1,003",
"107/01/25","1,004,273","66,333,818","66.00","66.90","65.50","65.50","-0.20","759",
"107/01/26","5,486,742","376,021,442","66.10","70.50","65.00","68.90","+3.40","3,641",
"107/01/29","15,669,031","1,156,968,243","70.10","75.70","70.10","75.70","+6.80","8,905",
"107/01/30","22,969,406","1,773,154,267","77.30","79.20","74.10","75.30","-0.40","13,650",
"107/01/31","7,267,968","545,649,268","74.40","76.80","72.50","76.10","+0.80","4,909",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

