"108年08月 5871 中租-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/08/01","4,235,966","557,048,450","131.00","133.50","130.00","133.00","+1.50","2,480",
"108/08/02","11,061,020","1,404,666,060","130.00","130.50","124.00","125.50","-7.50","6,213",
"108/08/05","4,277,521","533,488,646","124.50","127.00","123.00","124.00","-1.50","3,148",
"108/08/06","3,720,726","453,523,476","120.00","124.00","119.00","124.00"," 0.00","2,703",
"108/08/07","2,951,904","368,949,904","124.50","127.00","123.50","124.00"," 0.00","1,996",
"108/08/08","2,498,642","311,278,750","124.50","125.50","124.00","124.00"," 0.00","1,436",
"108/08/12","3,314,650","414,341,250","125.00","127.00","123.50","123.50","-0.50","2,198",
"108/08/13","3,780,424","459,164,431","123.50","123.50","120.50","121.00","-2.50","2,379",
"108/08/14","7,312,153","908,012,935","123.00","125.50","122.50","123.50","+2.50","3,530",
"108/08/15","3,952,439","486,039,375","120.50","124.50","120.50","124.00","+0.50","1,949",
"108/08/16","2,935,785","360,612,840","124.00","124.50","121.50","123.00","-1.00","1,674",
"108/08/19","1,802,264","224,921,764","123.50","125.50","123.50","125.00","+2.00","1,305",
"108/08/20","1,906,376","239,238,376","125.00","126.00","125.00","125.00"," 0.00","1,298",
"108/08/21","1,265,595","158,687,668","125.50","126.00","125.00","125.00"," 0.00","1,078",
"108/08/22","1,615,505","201,727,375","125.50","126.00","124.00","125.00"," 0.00","911",
"108/08/23","1,862,580","231,536,787","125.00","125.00","123.50","125.00"," 0.00","1,171",
"108/08/26","3,433,755","418,307,365","123.00","123.50","121.00","122.00","-3.00","2,254",
"108/08/27","3,412,064","413,982,808","122.00","123.00","121.00","121.00","-1.00","1,374",
"108/08/28","1,155,617","140,038,274","121.00","122.00","121.00","121.00"," 0.00","837",
"108/08/29","2,154,491","259,295,902","121.00","121.00","119.50","121.00"," 0.00","1,291",
"108/08/30","2,792,622","344,903,250","122.00","124.50","121.50","124.50","+3.50","1,570",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

