"112年03月 6116 彩晶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/03/01","10,310,463","130,763,655","12.80","12.90","12.55","12.65","-0.15","2,813",
"112/03/02","7,491,201","94,417,206","12.70","12.80","12.50","12.55","-0.10","2,324",
"112/03/03","70,600,737","940,578,812","12.75","13.80","12.60","13.50","+0.95","15,101",
"112/03/06","76,501,897","1,071,400,870","13.75","14.30","13.70","14.00","+0.50","16,132",
"112/03/07","22,800,320","314,546,924","14.00","14.00","13.65","13.75","-0.25","6,598",
"112/03/08","17,917,296","246,203,162","13.65","13.90","13.55","13.85","+0.10","4,401",
"112/03/09","18,134,481","247,402,647","13.95","14.00","13.45","13.50","-0.35","5,685",
"112/03/10","29,083,686","382,237,487","13.35","13.45","12.90","13.15","-0.35","6,977",
"112/03/13","15,993,720","212,090,791","13.00","13.45","13.00","13.40","+0.25","4,109",
"112/03/14","9,808,838","129,303,858","13.25","13.40","13.10","13.10","-0.30","2,781",
"112/03/15","13,294,971","174,824,391","13.30","13.40","13.00","13.00","-0.10","3,482",
"112/03/16","17,689,355","228,788,924","12.95","13.15","12.75","12.80","-0.20","4,824",
"112/03/17","14,195,848","183,947,179","13.00","13.10","12.75","13.00","+0.20","3,140",
"112/03/20","5,289,813","68,392,006","13.00","13.10","12.85","12.90","-0.10","1,736",
"112/03/21","16,717,723","219,595,404","13.20","13.35","12.95","13.00","+0.10","3,943",
"112/03/22","6,402,126","83,310,184","13.15","13.20","12.95","12.95","-0.05","2,208",
"112/03/23","6,960,355","89,899,118","12.95","13.05","12.85","12.90","-0.05","2,075",
"112/03/24","5,612,285","72,940,100","13.00","13.05","12.95","13.00","+0.10","1,669",
"112/03/27","6,295,556","81,834,157","13.10","13.20","12.90","12.90","-0.10","1,861",
"112/03/28","7,427,791","94,523,588","12.95","13.00","12.65","12.65","-0.25","2,330",
"112/03/29","15,589,587","197,362,425","12.70","12.80","12.50","12.70","+0.05","3,312",
"112/03/30","5,992,626","75,983,759","12.75","12.85","12.60","12.70"," 0.00","1,722",
"112/03/31","9,519,107","122,179,366","12.75","13.00","12.70","12.75","+0.05","1,997",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

