"10004る 6120 笷笲             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/04/01","2,565,961","70,627,825","27.70","27.85","27.35","27.50","-0.40","1,087",
"100/04/06","2,358,877","65,085,603","27.60","27.85","27.40","27.60","+0.10","918",
"100/04/07","2,033,110","56,079,562","27.80","27.80","27.50","27.60"," 0.00","707",
"100/04/08","2,501,402","68,939,148","27.35","27.85","27.35","27.55","-0.05","932",
"100/04/11","2,480,335","67,384,205","27.50","27.50","27.05","27.20","-0.35","709",
"100/04/12","2,067,906","55,460,480","27.00","27.00","26.65","26.70","-0.50","776",
"100/04/13","1,720,591","46,349,999","26.70","27.25","26.65","27.25","+0.55","820",
"100/04/14","2,494,002","67,977,894","27.35","27.50","27.10","27.25"," 0.00","931",
"100/04/15","2,038,264","55,103,644","27.25","27.25","26.85","26.90","-0.35","703",
"100/04/18","1,549,762","41,485,965","26.80","27.05","26.65","26.75","-0.15","523",
"100/04/19","1,675,217","44,405,734","26.20","26.70","26.20","26.60","-0.15","711",
"100/04/20","2,996,815","80,958,570","26.80","27.40","26.80","27.05","+0.45","1,006",
"100/04/21","2,456,804","66,998,611","27.60","27.60","27.05","27.10","+0.05","949",
"100/04/22","2,316,155","62,772,067","27.10","27.25","27.00","27.10"," 0.00","664",
"100/04/25","2,162,501","58,993,415","27.50","27.60","27.10","27.25","+0.15","749",
"100/04/26","2,555,485","69,102,695","26.80","27.30","26.80","27.20","-0.05","708",
"100/04/27","4,201,121","115,428,996","27.25","27.70","27.20","27.45","+0.25","1,518",
"100/04/28","2,633,915","71,498,251","27.40","27.45","26.95","27.05","-0.40","881",
"100/04/29","3,183,722","85,997,329","27.00","27.30","26.75","26.80","-0.25","911",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

