"108年03月 6120 達運             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/03/04","18,423,752","382,947,133","20.90","20.95","20.55","20.90","+0.30","5,750",
"108/03/05","4,763,579","98,260,724","20.60","20.85","20.50","20.50","-0.40","1,952",
"108/03/06","9,213,643","191,405,823","20.50","21.15","20.50","20.75","+0.25","4,153",
"108/03/07","18,142,284","377,279,050","20.75","21.10","20.35","20.80","+0.05","6,101",
"108/03/08","17,786,525","368,224,861","20.95","20.95","20.35","20.50","-0.30","5,445",
"108/03/11","3,710,228","76,144,271","20.60","20.75","20.40","20.40","-0.10","1,456",
"108/03/12","4,517,106","92,019,789","20.65","20.65","20.15","20.30","-0.10","1,828",
"108/03/13","18,473,779","387,697,384","20.60","21.40","20.60","20.70","+0.40","7,299",
"108/03/14","5,323,890","109,170,943","20.60","20.75","20.35","20.55","-0.15","2,443",
"108/03/15","5,235,166","108,072,564","20.50","20.90","20.40","20.70","+0.15","2,140",
"108/03/18","14,344,873","304,694,309","21.10","21.50","21.00","21.15","+0.45","5,427",
"108/03/19","5,086,715","106,365,082","21.15","21.20","20.75","20.75","-0.40","2,112",
"108/03/20","3,370,389","70,640,526","20.95","21.20","20.80","20.90","+0.15","1,371",
"108/03/21","14,561,259","314,584,324","21.05","22.15","20.95","22.15","+1.25","5,830",
"108/03/22","14,189,381","306,856,463","22.15","22.30","21.20","21.30","-0.85","5,157",
"108/03/25","6,845,300","141,483,412","20.95","21.05","20.40","21.05","-0.25","2,523",
"108/03/26","16,043,099","345,880,045","21.50","21.95","21.30","21.30","+0.25","6,203",
"108/03/27","3,892,337","81,718,222","21.30","21.30","20.80","20.85","-0.45","1,741",
"108/03/28","4,423,529","90,943,665","20.85","20.85","20.40","20.40","-0.45","1,891",
"108/03/29","2,940,517","60,191,691","20.45","20.75","20.20","20.60","+0.20","1,368",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

