"109年03月 6282 康舒             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/03/02","3,499,293","81,205,737","22.90","23.65","22.80","23.10","-0.25","1,593",
"109/03/03","1,603,689","37,655,113","23.60","23.70","23.30","23.30","+0.20","875",
"109/03/04","2,071,454","47,896,380","23.30","23.30","23.00","23.10","-0.20","941",
"109/03/05","1,552,302","36,205,428","23.25","23.50","23.20","23.30","+0.20","822",
"109/03/06","3,002,131","69,140,763","23.35","23.40","22.85","22.95","-0.35","1,363",
"109/03/09","4,607,030","102,779,212","22.80","22.80","22.00","22.05","-0.90","2,216",
"109/03/10","4,912,238","106,380,260","21.60","22.00","21.30","21.85","-0.20","2,074",
"109/03/11","2,794,360","60,560,009","21.90","22.10","21.20","21.30","-0.55","1,325",
"109/03/12","5,026,511","101,641,191","21.00","21.00","19.85","19.90","-1.40","2,302",
"109/03/13","5,836,251","107,176,919","18.75","19.10","17.95","18.80","-1.10","2,529",
"109/03/16","3,334,038","62,524,398","18.85","19.20","18.15","18.25","-0.55","1,541",
"109/03/17","4,215,513","73,238,872","16.60","17.95","16.60","17.40","-0.85","1,811",
"109/03/18","2,436,920","42,443,846","17.60","17.80","17.00","17.00","-0.40","1,314",
"109/03/19","6,617,833","103,652,928","16.80","16.90","15.30","15.35","-1.65","2,597",
"109/03/20","3,568,176","59,347,414","16.10","16.85","16.00","16.85","+1.50","1,537",
"109/03/23","2,185,581","35,200,235","16.15","16.35","15.50","16.10","-0.75","1,115",
"109/03/24","2,537,980","42,702,150","16.55","17.15","16.50","16.90","+0.80","1,241",
"109/03/25","3,172,922","56,468,246","17.95","18.00","17.60","17.70","+0.80","1,606",
"109/03/26","2,929,178","51,198,431","17.85","17.85","17.15","17.70"," 0.00","1,415",
"109/03/27","8,119,928","151,063,295","18.55","19.10","18.10","18.20","+0.50","3,404",
"109/03/30","1,803,270","32,237,288","17.90","18.10","17.65","18.05","-0.15","863",
"109/03/31","1,819,022","32,911,268","18.50","18.50","17.85","17.95","-0.10","902",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

