"108年09月 6415 矽力*-KY         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/09/02","715,035","502,421,535","699.00","716.00","681.00","705.00","+7.00","663",
"108/09/03","423,726","296,207,200","707.00","716.00","692.00","699.00","-6.00","417",
"108/09/04","293,310","204,115,520","700.00","701.00","692.00","696.00","-3.00","288",
"108/09/05","500,700","345,260,300","705.00","707.00","680.00","685.00","-11.00","482",
"108/09/06","487,103","338,441,409","683.00","703.00","683.00","685.00"," 0.00","477",
"108/09/09","216,245","148,212,600","692.00","698.00","676.00","676.00","-9.00","214",
"108/09/10","110,015","74,512,305","680.00","683.00","673.00","673.00","-3.00","109",
"108/09/11","504,500","351,488,500","686.00","707.00","680.00","695.00","+22.00","485",
"108/09/12","712,427","507,729,608","717.00","728.00","698.00","708.00","+13.00","692",
"108/09/16","269,433","186,945,801","710.00","710.00","688.00","691.00","-17.00","264",
"108/09/17","418,907","286,424,388","688.00","694.00","676.00","688.00","-3.00","403",
"108/09/18","501,225","349,689,500","691.00","706.00","685.00","702.00","+14.00","478",
"108/09/19","1,945,533","1,472,416,278","735.00","772.00","732.00","771.00","+69.00","1,748",
"108/09/20","1,330,540","1,029,366,420","778.00","784.00","759.00","779.00","+8.00","1,281",
"108/09/23","990,176","800,734,976","780.00","827.00","777.00","806.00","+27.00","933",
"108/09/24","610,287","484,005,156","806.00","810.00","780.00","791.00","-15.00","604",
"108/09/25","638,197","494,659,069","790.00","796.00","766.00","770.00","-21.00","620",
"108/09/26","550,387","426,298,894","774.00","796.00","761.00","762.00","-8.00","565",
"108/09/27","735,670","564,152,220","769.00","782.00","757.00","769.00","+7.00","727",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

