"105年06月 9910 豐泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/06/01","906,919","124,002,941","137.00","138.00","135.50","136.50"," 0.00","651",
"105/06/02","5,881,246","773,231,091","138.00","141.00","131.00","131.00","-5.50","2,699",
"105/06/03","2,662,338","341,802,764","130.50","132.50","126.50","127.00","-4.00","2,023",
"105/06/04","326,634","41,695,786","128.50","128.50","126.00","128.00","+1.00","283",
"105/06/06","941,570","119,760,960","128.00","129.00","126.50","126.50","-1.50","776",
"105/06/07","1,494,167","193,143,043","127.50","131.00","126.50","128.50","+2.00","1,082",
"105/06/08","789,137","102,656,376","129.50","131.00","128.50","130.50","+2.00","687",
"105/06/13","1,038,776","133,953,711","131.00","132.00","127.50","128.00","-2.50","909",
"105/06/14","721,655","93,348,650","129.00","130.00","128.50","129.50","+1.50","596",
"105/06/15","1,386,429","179,484,984","129.50","131.00","127.00","130.50","+1.00","1,048",
"105/06/16","1,599,361","204,896,208","131.50","131.50","126.50","127.00","-3.50","1,258",
"105/06/17","1,096,010","140,042,773","128.00","129.00","126.50","126.50","-0.50","853",
"105/06/20","1,045,262","134,243,927","128.00","129.50","127.50","129.00","+2.50","810",
"105/06/21","1,025,011","131,250,919","129.00","129.00","127.00","128.50","-0.50","753",
"105/06/22","1,525,391","183,047,148","128.50","129.00","127.00","128.50"," 0.00","449",
"105/06/23","962,108","123,791,432","128.50","130.00","127.50","128.00","-0.50","782",
"105/06/24","1,782,666","226,042,082","128.00","130.00","125.00","125.00","-3.00","1,258",
"105/06/27","727,651","92,526,828","125.00","128.00","125.00","128.00","+3.00","569",
"105/06/28","1,478,908","189,754,632","127.00","129.50","126.00","129.00","+1.00","900",
"105/06/29","1,163,385","148,708,471","127.00","129.00","127.00","128.00","-1.00","919",
"105/06/30","3,464,085","458,912,805","129.00","134.50","129.00","133.00","+5.00","2,368",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

