"111年03月 9938 百和             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/03/01","315,985","24,749,287","78.30","78.70","77.70","78.40","+0.10","365",
"111/03/02","503,044","39,289,252","78.40","78.70","77.50","78.40"," 0.00","350",
"111/03/03","431,465","33,633,599","78.40","78.70","77.50","78.10","-0.30","400",
"111/03/04","260,419","20,259,496","77.50","78.10","77.50","77.80","-0.30","267",
"111/03/07","1,423,891","106,657,324","77.50","77.60","73.80","74.20","-3.60","1,112",
"111/03/08","1,254,396","90,737,674","73.00","73.40","71.50","73.00","-1.20","1,137",
"111/03/09","937,372","68,067,684","73.10","73.40","71.80","72.90","-0.10","769",
"111/03/10","717,789","52,819,181","73.40","74.10","73.10","73.70","+0.80","667",
"111/03/11","1,030,274","75,295,873","74.50","74.50","72.30","72.80","-0.90","771",
"111/03/14","4,014,564","280,089,948","72.00","72.10","68.60","68.90","-3.90","2,798",
"111/03/15","3,173,516","212,726,553","69.10","69.50","66.20","66.80","-2.10","2,513",
"111/03/16","1,992,075","133,504,772","68.20","68.30","66.40","67.50","+0.70","1,569",
"111/03/17","2,603,425","177,059,977","68.60","69.00","67.60","68.00","+0.50","1,870",
"111/03/18","3,051,890","215,703,536","68.30","71.50","68.30","71.40","+3.40","1,557",
"111/03/21","1,536,354","108,460,496","71.60","71.70","70.00","70.20","-1.20","1,134",
"111/03/22","1,136,918","79,308,434","70.20","70.50","69.10","70.30","+0.10","960",
"111/03/23","1,272,913","89,902,084","70.80","71.20","69.60","70.80","+0.50","921",
"111/03/24","954,724","67,703,473","71.00","71.40","70.40","71.10","+0.30","695",
"111/03/25","857,483","60,629,504","71.20","71.20","70.20","70.20","-0.90","674",
"111/03/28","734,203","51,462,041","70.30","70.80","69.60","70.00","-0.20","580",
"111/03/29","1,204,141","83,758,404","70.00","70.00","69.20","69.30","-0.70","1,023",
"111/03/30","931,460","66,422,538","69.80","71.90","69.80","71.90","+2.60","739",
"111/03/31","666,009","47,922,311","71.40","72.50","71.30","71.90"," 0.00","566",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

