"109年09月 1319 東陽             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/09/01","3,180,417","124,412,396","39.00","39.45","38.30","39.25","+0.55","2,017",
"109/09/02","2,507,678","98,285,542","39.50","39.90","38.50","38.60","-0.65","1,750",
"109/09/03","2,078,063","81,185,618","38.80","39.45","38.25","39.25","+0.65","1,225",
"109/09/04","1,084,599","42,025,511","38.40","39.00","38.20","39.00","-0.25","805",
"109/09/07","1,204,746","46,973,786","39.00","39.50","38.50","38.90","-0.10","792",
"109/09/08","1,382,231","52,897,961","38.85","38.85","37.65","37.95","-0.95","902",
"109/09/09","873,706","33,095,428","37.80","38.35","37.30","38.20","+0.25","566",
"109/09/10","1,072,101","40,444,819","38.20","38.20","37.40","37.40","-0.80","738",
"109/09/11","1,877,126","69,525,668","37.50","37.70","36.80","36.90","-0.50","859",
"109/09/14","738,070","27,437,053","36.95","37.55","36.70","37.45","+0.55","534",
"109/09/15","956,314","36,384,245","37.55","38.35","37.30","38.05","+0.60","750",
"109/09/16","487,188","18,485,923","38.10","38.15","37.80","37.85","-0.20","316",
"109/09/17","955,584","35,871,640","37.75","38.10","37.30","37.35","-0.50","796",
"109/09/18","932,404","35,018,310","37.30","37.80","37.30","37.70","+0.35","650",
"109/09/21","610,290","23,180,552","38.10","38.30","37.65","37.90","+0.20","428",
"109/09/22","805,021","30,110,940","37.55","37.80","36.85","37.50","-0.40","667",
"109/09/23","1,655,306","60,663,917","37.30","37.40","36.40","36.45","-1.05","1,258",
"109/09/24","1,456,220","52,089,790","36.45","36.45","35.40","35.50","-0.95","1,078",
"109/09/25","623,395","22,326,189","35.90","36.50","35.40","35.55","+0.05","447",
"109/09/28","835,352","30,086,150","36.20","36.40","35.70","35.70","+0.15","687",
"109/09/29","991,482","35,616,192","35.80","36.25","35.75","35.90","+0.20","420",
"109/09/30","505,579","18,191,058","36.25","36.25","35.80","35.80","-0.10","450",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

