"10010る 1522 出蝴﹁           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/10/03","379,000","4,827,050","12.95","12.95","12.60","12.65","-0.40","166",
"100/10/04","277,477","3,507,881","12.65","12.75","12.50","12.75","+0.10","94",
"100/10/05","181,501","2,285,735","12.70","13.00","12.50","12.50","-0.25","94",
"100/10/06","249,637","3,149,293","12.55","12.75","12.40","12.60","+0.10","108",
"100/10/07","190,069","2,406,314","12.75","12.80","12.60","12.70","+0.10","83",
"100/10/11","244,955","3,142,966","12.85","12.90","12.75","12.85","+0.15","92",
"100/10/12","393,979","5,062,930","12.75","13.00","12.75","12.80","-0.05","122",
"100/10/13","164,738","2,133,752","12.90","13.10","12.80","12.95","+0.15","90",
"100/10/14","300,049","3,871,029","12.85","13.10","12.80","12.90","-0.05","105",
"100/10/17","287,947","3,796,661","13.00","13.35","13.00","13.15","+0.25","145",
"100/10/18","256,323","3,310,198","13.05","13.15","12.80","12.80","-0.35","95",
"100/10/19","137,091","1,761,816","12.90","12.90","12.75","12.80"," 0.00","63",
"100/10/20","113,960","1,446,085","12.75","12.80","12.60","12.65","-0.15","64",
"100/10/21","89,512","1,136,011","12.65","12.90","12.55","12.75","+0.10","86",
"100/10/24","234,099","3,007,448","12.75","12.95","12.70","12.85","+0.10","177",
"100/10/25","349,986","4,566,854","12.95","13.20","12.90","13.10","+0.25","223",
"100/10/26","407,312","5,332,481","13.00","13.20","12.75","13.10"," 0.00","192",
"100/10/27","634,987","8,526,215","13.20","13.60","13.20","13.40","+0.30","325",
"100/10/28","435,446","5,857,626","13.80","13.80","13.20","13.20","-0.20","254",
"100/10/31","240,501","3,208,855","13.30","13.40","13.25","13.30","+0.10","118",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

