"112年06月 1522 堤維西           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/06/01","721,876","21,008,961","29.25","29.25","29.00","29.05","-0.20","496",
"112/06/02","1,669,696","49,116,971","29.25","29.60","29.15","29.40","+0.35","898",
"112/06/05","1,264,851","37,538,462","29.65","29.85","29.55","29.60","+0.20","742",
"112/06/06","931,787","27,290,652","29.70","29.75","29.15","29.20","-0.40","614",
"112/06/07","813,164","23,774,173","29.35","29.45","29.15","29.20"," 0.00","520",
"112/06/08","4,497,885","134,027,388","29.45","30.25","29.30","29.30","+0.10","2,660",
"112/06/09","3,004,119","89,611,468","30.30","30.30","29.40","29.65","+0.35","1,463",
"112/06/12","8,194,203","250,079,527","30.30","30.80","30.20","30.65","+1.00","4,324",
"112/06/13","29,009,654","949,291,444","31.25","33.70","31.10","33.70","+3.05","12,505",
"112/06/14","73,985,031","2,649,995,954","35.00","37.05","34.60","35.25","+1.55","36,595",
"112/06/15","33,119,976","1,199,854,086","35.75","37.05","35.35","36.95","+1.70","17,200",
"112/06/16","28,379,122","1,071,238,081","37.60","38.80","37.00","37.30","+0.35","15,229",
"112/06/19","13,528,488","505,102,881","37.80","38.45","36.70","37.10","-0.20","8,214",
"112/06/20","9,929,993","366,161,631","37.50","37.90","36.25","36.35","-0.75","5,788",
"112/06/21","7,253,517","268,624,893","37.25","37.35","36.65","37.05","+0.70","4,211",
"112/06/26","12,483,935","465,734,586","37.35","38.20","36.55","36.85","-0.20","7,186",
"112/06/27","7,633,981","279,041,266","36.85","37.50","36.05","36.20","-0.65","4,052",
"112/06/28","10,699,816","399,168,063","36.80","37.70","36.70","37.60","+1.40","5,827",
"112/06/29","6,371,325","236,673,552","37.45","37.45","36.80","37.45","-0.15","3,593",
"112/06/30","7,362,954","275,763,958","37.90","38.30","36.90","37.15","-0.30","3,916",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

