"109年08月 1582 信錦             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/08/03","691,007","55,165,160","79.60","80.10","79.20","80.00","+0.70","500",
"109/08/04","405,365","32,626,678","80.20","80.70","80.20","80.50","+0.50","353",
"109/08/05","505,190","40,984,521","80.80","81.70","80.60","81.70","+1.20","391",
"109/08/06","594,250","48,898,725","81.80","82.70","81.80","82.40","+0.70","398",
"109/08/07","2,741,338","232,088,910","84.20","85.80","83.70","85.40","+3.00","1,942",
"109/08/10","1,257,765","107,168,306","85.90","86.30","84.50","85.00","-0.40","922",
"109/08/11","509,709","42,940,574","85.00","85.00","83.80","83.90","-1.10","399",
"109/08/12","418,764","34,816,612","83.80","84.00","82.80","83.00","-0.90","364",
"109/08/13","312,677","26,096,627","83.40","84.40","83.00","83.50","+0.50","241",
"109/08/14","367,040","30,715,939","83.50","84.10","83.50","83.60","+0.10","242",
"109/08/17","457,634","38,394,889","84.00","84.20","83.10","83.90","+0.30","381",
"109/08/18","616,040","51,877,462","84.30","84.60","83.80","84.60","+0.70","485",
"109/08/19","440,303","37,309,428","84.90","85.00","84.40","84.70","+0.10","318",
"109/08/20","1,151,033","94,584,814","82.50","83.80","81.20","82.30","-2.40","885",
"109/08/21","425,630","35,056,975","82.80","83.10","81.70","82.20","-0.10","368",
"109/08/24","385,514","31,874,000","82.20","83.00","82.00","82.70","+0.50","219",
"109/08/25","279,882","23,196,315","82.90","83.20","82.70","82.80","+0.10","190",
"109/08/26","277,275","22,933,184","82.90","83.00","82.50","82.50","-0.30","197",
"109/08/27","307,102","25,304,403","82.60","82.90","82.00","82.10","-0.40","231",
"109/08/28","279,713","22,968,933","82.20","82.90","81.80","82.10"," 0.00","228",
"109/08/31","213,190","17,608,870","82.50","83.00","82.20","82.80","+0.70","170",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

