"10410る 1609 ㄈ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/10/01","266,169","1,183,001","4.45","4.47","4.40","4.46","+0.06","76",
"104/10/02","608,572","2,739,794","4.48","4.55","4.46","4.51","+0.05","122",
"104/10/05","243,869","1,108,413","4.51","4.57","4.51","4.55","+0.04","72",
"104/10/06","442,579","2,044,539","4.59","4.68","4.56","4.60","+0.05","118",
"104/10/07","303,913","1,397,665","4.60","4.63","4.55","4.60"," 0.00","135",
"104/10/08","154,340","705,454","4.58","4.60","4.55","4.55","-0.05","57",
"104/10/12","487,661","2,270,294","4.60","4.69","4.60","4.69","+0.14","225",
"104/10/13","450,909","2,139,544","4.70","4.78","4.70","4.76","+0.07","174",
"104/10/14","504,572","2,425,641","4.85","4.86","4.71","4.82","+0.06","154",
"104/10/15","225,679","1,083,701","4.80","4.83","4.75","4.80","-0.02","114",
"104/10/16","531,562","2,568,003","4.85","4.88","4.79","4.82","+0.02","132",
"104/10/19","682,554","3,288,435","4.85","4.87","4.79","4.80","-0.02","132",
"104/10/20","204,836","980,104","4.79","4.80","4.76","4.80"," 0.00","85",
"104/10/21","618,972","2,953,982","4.82","4.83","4.72","4.80"," 0.00","144",
"104/10/22","765,422","3,555,271","4.60","4.78","4.60","4.74","-0.06","109",
"104/10/23","362,861","1,739,895","4.79","4.83","4.77","4.77","+0.03","132",
"104/10/26","285,590","1,373,295","4.80","4.84","4.79","4.82","+0.05","115",
"104/10/27","837,514","4,025,124","4.81","4.84","4.78","4.82"," 0.00","105",
"104/10/28","360,722","1,738,623","4.83","4.84","4.80","4.83","+0.01","97",
"104/10/29","185,241","893,275","4.81","4.85","4.80","4.81","-0.02","73",
"104/10/30","654,158","3,178,989","4.84","4.92","4.80","4.84","+0.03","176",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

