"9906る 1612 Щ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/06/01","317,152","4,084,402","12.90","13.00","12.80","12.80","-0.05","141",
" 99/06/02","286,423","3,666,541","12.60","13.00","12.60","12.75","-0.05","123",
" 99/06/03","510,001","6,605,013","12.95","13.05","12.85","12.85","+0.10","149",
" 99/06/04","341,000","4,391,050","12.85","13.00","12.80","12.95","+0.10","108",
" 99/06/07","421,567","5,371,112","12.50","13.00","12.50","12.90","-0.05","130",
" 99/06/08","375,109","4,832,842","12.80","13.05","12.75","12.85","-0.05","119",
" 99/06/09","969,005","12,596,165","13.15","13.15","12.80","12.90","+0.05","255",
" 99/06/10","377,001","4,905,913","12.95","13.05","12.90","13.05","+0.15","124",
" 99/06/11","1,402,029","18,611,482","13.20","13.45","13.10","13.20","+0.15","342",
" 99/06/14","454,019","6,018,052","13.25","13.35","13.20","13.25","+0.05","140",
" 99/06/15","534,057","7,057,807","13.25","13.30","13.15","13.20","-0.05","142",
" 99/06/17","371,111","4,919,314","13.40","13.40","13.20","13.25","+0.05","107",
" 99/06/18","638,165","8,346,827","13.25","13.25","12.95","13.05","-0.20","143",
" 99/06/21","914,197","11,964,626","13.15","13.20","13.00","13.10","+0.05","213",
" 99/06/22","486,303","6,333,951","13.10","13.25","12.90","13.05","-0.05","140",
" 99/06/23","607,626","7,900,871","12.90","13.15","12.90","12.95","-0.10","186",
" 99/06/24","823,205","10,875,255","13.00","13.30","13.00","13.25","+0.30","230",
" 99/06/25","567,001","7,416,063","13.15","13.20","13.00","13.10","-0.15","167",
" 99/06/28","338,959","4,456,213","13.15","13.25","13.10","13.15","+0.05","123",
" 99/06/29","442,459","5,783,375","13.30","13.30","12.90","12.90","-0.25","154",
" 99/06/30","368,000","4,680,600","12.70","12.85","12.65","12.80","-0.10","124",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

