"106年10月 1612 宏泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/10/02","232,471","2,388,927","10.35","10.35","10.20","10.30","+0.05","118",
"106/10/03","244,300","2,522,335","10.30","10.40","10.25","10.35","+0.05","123",
"106/10/05","230,705","2,382,860","10.35","10.40","10.30","10.35"," 0.00","83",
"106/10/06","320,087","3,325,147","10.40","10.40","10.30","10.40","+0.05","119",
"106/10/11","520,005","5,474,500","10.55","10.60","10.45","10.50","+0.10","263",
"106/10/12","343,080","3,575,447","10.40","10.50","10.35","10.40","-0.10","127",
"106/10/13","507,290","5,268,600","10.50","10.50","10.30","10.40"," 0.00","141",
"106/10/16","945,460","9,959,297","10.50","10.60","10.45","10.60","+0.20","283",
"106/10/17","1,902,151","20,546,837","10.70","10.95","10.70","10.70","+0.10","612",
"106/10/18","529,537","5,693,421","10.80","10.85","10.65","10.70"," 0.00","188",
"106/10/19","525,217","5,579,119","10.75","10.75","10.55","10.65","-0.05","185",
"106/10/20","245,060","2,598,248","10.65","10.65","10.55","10.60","-0.05","93",
"106/10/23","433,200","4,598,028","10.65","10.70","10.55","10.60"," 0.00","114",
"106/10/24","384,427","4,041,653","10.55","10.55","10.50","10.50","-0.10","142",
"106/10/25","840,988","9,027,969","10.60","10.90","10.60","10.75","+0.25","309",
"106/10/26","727,281","7,845,646","10.75","10.90","10.70","10.80","+0.05","177",
"106/10/27","383,611","4,111,755","10.65","10.80","10.65","10.70","-0.10","129",
"106/10/30","319,659","3,394,567","10.65","10.75","10.50","10.55","-0.15","104",
"106/10/31","360,050","3,802,124","10.60","10.65","10.50","10.55"," 0.00","122",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

