"101年01月 1734 杏輝             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/01/02","678,887","15,752,925","23.15","23.70","22.95","23.00","-0.85","378",
"101/01/03","742,296","17,125,372","23.10","23.40","22.80","23.05","+0.05","412",
"101/01/04","1,022,641","23,892,317","23.30","23.70","23.10","23.20","+0.15","462",
"101/01/05","562,609","12,947,107","23.20","23.30","22.90","23.00","-0.20","339",
"101/01/06","1,073,880","25,154,151","23.00","23.70","23.00","23.30","+0.30","584",
"101/01/09","534,946","12,341,708","23.40","23.40","22.95","23.10","-0.20","220",
"101/01/10","335,500","7,727,796","23.15","23.25","22.95","23.10"," 0.00","231",
"101/01/11","464,555","10,771,615","23.25","23.30","23.10","23.15","+0.05","259",
"101/01/12","647,100","14,990,957","23.15","23.40","23.00","23.15"," 0.00","293",
"101/01/13","740,320","17,019,405","23.15","23.30","22.90","23.00","-0.15","269",
"101/01/16","1,182,125","26,452,136","23.40","23.40","22.00","22.25","-0.75","589",
"101/01/17","996,604","22,420,153","22.35","22.70","22.25","22.40","+0.15","425",
"101/01/18","512,550","11,566,043","22.60","22.70","22.45","22.70","+0.30","246",
"101/01/30","1,634,514","38,233,095","23.10","23.75","22.90","23.70","+1.00","641",
"101/01/31","2,506,947","61,048,012","23.80","24.80","23.70","24.35","+0.65","939",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

