"107年01月 1802 台玻             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/01/02","6,251,694","139,029,104","22.35","22.50","21.90","22.15","-0.20","2,940",
"107/01/03","14,061,805","317,002,910","22.60","23.20","21.90","22.00","-0.15","4,788",
"107/01/04","8,639,178","189,982,680","22.35","22.50","21.85","21.85","-0.15","2,908",
"107/01/05","7,024,342","154,586,047","21.90","22.35","21.75","22.15","+0.30","2,533",
"107/01/08","18,959,705","433,791,640","22.15","23.60","21.90","22.75","+0.60","7,068",
"107/01/09","6,371,749","141,953,138","22.70","22.70","22.00","22.30","-0.45","2,724",
"107/01/10","14,333,344","327,298,507","22.45","23.40","22.15","22.85","+0.55","5,100",
"107/01/11","4,629,098","104,506,199","22.70","23.00","22.30","22.50","-0.35","1,905",
"107/01/12","4,716,898","106,159,168","22.60","22.90","22.25","22.35","-0.15","1,731",
"107/01/15","6,883,644","152,263,280","22.55","22.75","21.80","21.85","-0.50","2,199",
"107/01/16","4,545,935","100,004,383","21.85","22.25","21.80","21.85"," 0.00","1,566",
"107/01/17","5,827,016","126,297,235","21.90","22.05","21.40","21.50","-0.35","2,469",
"107/01/18","10,843,482","228,231,366","21.70","21.80","20.70","20.70","-0.80","3,986",
"107/01/19","7,864,365","160,636,146","20.70","20.85","20.20","20.30","-0.40","2,441",
"107/01/22","6,263,662","129,216,798","20.40","20.95","20.20","20.75","+0.45","2,254",
"107/01/23","2,938,285","60,046,460","20.65","20.70","20.20","20.40","-0.35","1,257",
"107/01/24","3,487,196","71,892,583","20.40","20.80","20.20","20.60","+0.20","1,455",
"107/01/25","4,564,876","94,680,671","20.75","21.00","20.40","20.80","+0.20","1,545",
"107/01/26","6,177,275","125,041,906","20.75","20.75","20.00","20.05","-0.75","2,149",
"107/01/29","9,973,236","193,702,242","20.00","20.00","19.20","19.35","-0.70","4,579",
"107/01/30","5,061,794","98,710,106","19.60","19.80","19.20","19.35"," 0.00","2,381",
"107/01/31","4,520,733","86,800,345","19.30","19.40","19.10","19.40","+0.05","1,856",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

