"110年11月 2002 中鋼             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/11/01","46,542,843","1,555,919,407","33.80","33.90","33.20","33.40","-0.20","17,599",
"110/11/02","45,392,614","1,521,577,336","33.50","34.00","33.20","33.20","-0.20","15,913",
"110/11/03","25,151,922","841,077,979","33.30","33.65","33.25","33.50","+0.30","9,978",
"110/11/04","44,877,494","1,495,450,459","33.70","33.75","33.05","33.25","-0.25","14,913",
"110/11/05","43,823,404","1,446,659,616","33.25","33.30","32.90","33.10","-0.15","15,989",
"110/11/08","98,530,499","3,367,203,723","33.55","34.50","33.50","34.40","+1.30","34,666",
"110/11/09","70,663,793","2,445,742,509","34.70","34.85","34.20","34.50","+0.10","26,896",
"110/11/10","34,144,227","1,166,573,422","34.45","34.45","34.00","34.10","-0.40","11,875",
"110/11/11","80,281,448","2,766,117,400","34.25","35.00","33.95","34.35","+0.25","24,661",
"110/11/12","39,299,148","1,346,811,527","34.50","34.70","34.10","34.25","-0.10","11,806",
"110/11/15","47,861,773","1,613,428,336","34.25","34.30","33.55","33.65","-0.60","19,306",
"110/11/16","71,424,698","2,368,137,655","33.50","33.55","33.00","33.15","-0.50","29,034",
"110/11/17","39,565,984","1,309,333,206","33.15","33.30","33.00","33.05","-0.10","14,829",
"110/11/18","56,901,059","1,879,047,557","33.10","33.20","32.90","32.95","-0.10","20,640",
"110/11/19","61,271,219","2,004,980,976","32.95","32.95","32.55","32.60","-0.35","28,059",
"110/11/22","50,388,550","1,637,387,226","32.50","32.75","32.30","32.60"," 0.00","18,423",
"110/11/23","74,326,648","2,466,365,340","32.70","33.55","32.65","33.10","+0.50","23,591",
"110/11/24","63,766,794","2,149,615,944","33.35","33.95","33.20","33.80","+0.70","22,708",
"110/11/25","42,073,228","1,424,381,291","34.00","34.20","33.60","33.80"," 0.00","14,737",
"110/11/26","48,983,393","1,626,873,570","33.60","33.70","33.00","33.05","-0.75","16,104",
"110/11/29","30,719,598","1,007,437,917","32.85","33.05","32.50","32.90","-0.15","11,651",
"110/11/30","65,165,591","2,129,942,835","32.95","33.00","32.55","32.55","-0.35","15,085",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

