"107年08月 2207 和泰車           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/08/01","306,959","82,414,512","266.50","269.50","266.50","268.00","+2.00","281",
"107/08/02","220,865","59,217,090","266.00","269.00","266.00","268.00"," 0.00","213",
"107/08/03","173,416","46,312,861","268.00","268.00","266.00","266.50","-1.50","184",
"107/08/06","167,533","44,728,877","266.00","267.50","266.00","267.50","+1.00","149",
"107/08/07","245,048","64,957,642","267.00","268.00","263.00","263.00","-4.50","237",
"107/08/08","288,436","76,855,998","263.00","268.00","263.00","267.00","+4.00","287",
"107/08/09","96,480","25,746,380","268.50","268.50","265.50","265.50","-1.50","100",
"107/08/10","85,055","22,511,295","265.50","265.50","264.00","264.00","-1.50","84",
"107/08/13","229,503","59,922,798","265.50","265.50","260.00","260.00","-4.00","220",
"107/08/14","170,032","44,308,384","262.00","262.00","260.00","260.00"," 0.00","170",
"107/08/15","256,411","65,894,327","260.00","261.50","255.00","256.00","-4.00","272",
"107/08/16","126,220","32,092,429","255.00","255.50","252.00","254.50","-1.50","127",
"107/08/17","170,861","43,382,055","254.50","255.50","252.50","252.50","-2.00","169",
"107/08/20","177,614","45,070,640","252.50","255.50","252.50","252.50"," 0.00","166",
"107/08/21","179,538","46,411,956","254.50","261.00","254.00","260.50","+8.00","180",
"107/08/22","168,394","43,584,910","260.50","261.00","257.00","258.00","-2.50","165",
"107/08/23","116,181","30,414,818","260.00","263.00","260.00","263.00","+5.00","120",
"107/08/24","174,010","45,304,690","260.50","262.00","258.50","262.00","-1.00","158",
"107/08/27","95,941","25,206,424","262.50","263.50","261.00","263.50","+1.50","108",
"107/08/28","137,522","36,278,616","263.50","265.00","262.50","265.00","+1.50","133",
"107/08/29","155,349","41,440,230","265.00","268.00","265.00","266.50","+1.50","153",
"107/08/30","170,063","45,276,224","266.50","267.00","265.50","265.50","-1.00","184",
"107/08/31","236,868","63,024,133","265.50","268.50","264.00","266.00","+0.50","185",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

