"9906る 2312 腳             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/06/01","1,267,702","10,912,443","8.66","8.67","8.56","8.58","-0.07","312",
" 99/06/02","1,027,947","8,766,959","8.58","8.62","8.44","8.51","-0.07","271",
" 99/06/03","1,574,949","13,572,973","8.61","8.66","8.58","8.63","+0.12","284",
" 99/06/04","1,206,547","10,464,702","8.65","8.71","8.63","8.65","+0.02","268",
" 99/06/07","1,282,920","10,819,121","8.51","8.52","8.36","8.51","-0.14","239",
" 99/06/08","782,271","6,641,890","8.50","8.53","8.42","8.51"," 0.00","186",
" 99/06/09","912,372","7,745,030","8.53","8.62","8.41","8.41","-0.10","207",
" 99/06/10","517,313","4,363,636","8.42","8.48","8.40","8.48","+0.07","187",
" 99/06/11","2,572,800","22,248,352","8.55","8.73","8.55","8.70","+0.22","500",
" 99/06/14","1,121,481","9,846,879","8.74","8.85","8.70","8.81","+0.11","271",
" 99/06/15","2,895,765","25,850,261","8.81","9.10","8.76","9.10","+0.29","544",
" 99/06/17","2,456,522","22,493,318","9.19","9.28","9.03","9.11","+0.01","583",
" 99/06/18","1,228,137","11,081,652","9.11","9.13","8.93","9.03","-0.08","297",
" 99/06/21","1,065,908","9,673,832","9.15","9.15","9.03","9.05","+0.02","282",
" 99/06/22","709,793","6,403,700","9.05","9.08","8.98","8.99","-0.06","201",
" 99/06/23","751,457","6,716,099","8.99","9.00","8.91","8.93","-0.06","219",
" 99/06/24","1,106,492","9,935,328","8.94","9.03","8.94","8.98","+0.05","278",
" 99/06/25","2,000,887","17,860,240","8.90","9.01","8.87","8.90","-0.08","268",
" 99/06/28","755,513","6,729,053","8.90","8.95","8.90","8.90"," 0.00","181",
" 99/06/29","814,125","7,244,786","8.92","8.99","8.83","8.89","-0.01","221",
" 99/06/30","1,110,369","9,642,814","8.72","8.75","8.63","8.68","-0.21","237",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

