"108年05月 2327 國巨             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/05/02","4,797,676","1,450,454,682","304.00","304.50","300.00","303.50","-1.00","3,641",
"108/05/03","9,113,626","2,728,685,678","302.50","304.00","295.00","300.00","-3.50","6,605",
"108/05/06","7,326,387","2,147,003,665","292.00","296.50","291.00","293.50","-6.50","5,548",
"108/05/07","6,084,687","1,797,528,665","295.00","298.50","293.00","293.00","-0.50","4,733",
"108/05/08","8,894,449","2,576,702,404","290.00","294.50","286.00","294.50","+1.50","6,749",
"108/05/09","6,597,710","1,906,269,400","292.00","293.50","285.50","286.00","-8.50","5,206",
"108/05/10","14,670,018","4,157,379,076","285.00","290.50","278.00","280.50","-5.50","10,968",
"108/05/13","14,722,387","3,972,705,281","281.50","282.50","259.50","259.50","-21.00","10,967",
"108/05/14","15,455,962","3,948,215,620","250.50","262.50","248.00","258.00","-1.50","10,749",
"108/05/15","7,300,011","1,903,825,352","260.00","264.00","258.50","259.00","+1.00","5,282",
"108/05/16","10,567,967","2,665,486,250","259.00","260.50","246.50","249.00","-10.00","7,879",
"108/05/17","9,691,150","2,427,768,500","251.50","254.00","247.50","249.50","+0.50","7,472",
"108/05/20","5,257,170","1,323,658,340","253.50","255.50","249.50","251.50","+2.00","4,048",
"108/05/21","7,281,915","1,852,252,985","250.00","258.00","248.00","258.00","+6.50","5,355",
"108/05/22","5,719,969","1,472,199,085","260.00","261.50","253.50","253.50","-4.50","4,298",
"108/05/23","10,660,501","2,608,137,469","248.00","249.00","240.50","244.50","-9.00","7,906",
"108/05/24","4,858,923","1,189,668,725","245.50","248.00","242.00","242.00","-2.50","3,687",
"108/05/27","4,140,810","1,011,423,760","245.00","246.50","241.50","245.00","+3.00","3,202",
"108/05/28","3,762,049","924,319,603","247.00","247.50","243.50","245.50","+0.50","2,412",
"108/05/29","9,218,491","2,307,971,696","243.00","255.00","242.50","255.00","+9.50","6,685",
"108/05/30","7,479,284","1,902,656,852","256.00","258.50","251.00","251.00","-4.00","5,929",
"108/05/31","7,985,569","2,052,334,009","251.00","261.00","250.50","261.00","+10.00","6,007",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

