"110年08月 2344 華邦電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/08/02","146,118,724","5,096,222,720","34.30","35.40","33.75","35.30","+1.10","44,062",
"110/08/03","119,756,625","4,074,497,114","34.30","34.70","33.60","33.95","-1.35","42,805",
"110/08/04","121,311,495","4,226,187,623","34.25","35.30","34.00","35.30","+1.35","39,651",
"110/08/05","143,330,724","5,072,996,027","35.45","35.85","34.80","35.80","+0.50","42,442",
"110/08/06","141,733,333","4,885,541,658","35.00","35.25","34.00","34.10","-1.70","52,122",
"110/08/09","63,319,925","2,156,990,970","34.00","34.65","33.55","33.95","-0.15","21,562",
"110/08/10","52,885,322","1,795,777,774","34.20","34.50","33.55","33.65","-0.30","19,536",
"110/08/11","146,626,882","4,717,292,466","33.25","33.25","31.35","31.85","-1.80","57,625",
"110/08/12","125,780,237","3,864,457,387","30.95","31.30","30.35","30.65","-1.20","46,777",
"110/08/13","157,646,482","4,590,925,597","29.85","30.00","28.50","28.50","-2.15","61,394",
"110/08/16","90,267,418","2,608,104,413","28.50","29.25","28.35","29.10","+0.60","33,980",
"110/08/17","59,304,564","1,708,636,464","29.20","29.35","28.35","28.75","-0.35","19,229",
"110/08/18","66,771,965","1,956,095,802","28.45","30.10","28.35","30.10","+1.35","25,380",
"110/08/19","48,546,654","1,425,351,458","29.65","30.10","28.75","28.90","-1.20","18,680",
"110/08/20","38,353,872","1,099,743,003","29.05","29.25","28.35","28.40","-0.50","15,295",
"110/08/23","35,628,180","1,045,438,246","28.90","29.80","28.85","29.50","+1.10","12,810",
"110/08/24","42,608,751","1,250,419,731","30.00","30.15","28.85","28.90","-0.60","15,742",
"110/08/25","38,859,164","1,149,910,764","29.10","29.95","29.05","29.70","+0.80","13,699",
"110/08/26","39,710,433","1,170,984,611","29.90","30.10","29.15","29.20","-0.50","14,191",
"110/08/27","30,182,118","879,982,269","29.20","29.50","28.90","29.15","-0.05","9,788",
"110/08/30","25,183,747","743,741,866","29.40","29.75","29.20","29.65","+0.50","8,899",
"110/08/31","32,256,586","952,134,463","29.65","29.80","29.20","29.50","-0.15","8,785",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

