"101年08月 2351 順德             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/08/01","332,100","6,655,554","19.65","20.50","19.60","20.05","X0.00","184",
"101/08/03","88,000","1,753,700","19.90","20.00","19.80","19.80","-0.25","44",
"101/08/06","159,000","3,169,750","20.00","20.10","19.80","19.80"," 0.00","75",
"101/08/07","199,092","3,935,111","19.80","19.90","19.65","19.85","+0.05","99",
"101/08/08","285,001","5,659,769","20.15","20.15","19.65","19.80","-0.05","131",
"101/08/09","1,210,229","24,259,471","19.50","20.55","19.50","20.55","+0.75","387",
"101/08/10","429,229","8,923,790","20.70","21.10","20.45","20.80","+0.25","197",
"101/08/13","150,002","3,104,090","20.80","20.90","20.55","20.85","+0.05","84",
"101/08/14","197,166","4,122,318","20.85","21.00","20.80","21.00","+0.15","112",
"101/08/15","280,500","5,924,400","21.15","21.30","21.00","21.10","+0.10","146",
"101/08/16","232,500","4,904,323","21.25","21.30","20.85","21.15","+0.05","116",
"101/08/17","214,137","4,606,472","21.20","21.80","21.20","21.80","+0.65","98",
"101/08/20","178,610","3,832,962","21.70","21.70","21.40","21.40","-0.40","90",
"101/08/21","112,000","2,406,100","21.60","21.60","21.40","21.45","+0.05","54",
"101/08/22","90,040","1,908,890","21.40","21.40","21.05","21.05","-0.40","54",
"101/08/23","80,115","1,687,888","21.05","21.35","21.00","21.00","-0.05","47",
"101/08/24","292,000","6,037,800","20.65","21.25","20.50","20.80","-0.20","148",
"101/08/27","188,080","3,891,322","20.90","21.00","20.50","20.70","-0.10","105",
"101/08/28","237,000","4,882,600","20.70","20.80","20.40","20.60","-0.10","116",
"101/08/29","275,000","5,686,450","20.70","20.90","20.50","20.80","+0.20","116",
"101/08/30","759,000","16,054,350","20.80","21.65","20.70","21.05","+0.25","301",
"101/08/31","202,655","4,294,555","21.10","21.35","21.00","21.20","+0.15","106",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

