"110年10月 2382 廣達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","6,102,575","469,640,613","77.00","78.00","76.50","77.00","-0.50","3,283",
"110/10/04","4,440,404","344,114,943","77.50","78.40","77.20","77.30","+0.30","2,940",
"110/10/05","4,685,734","361,033,377","77.40","77.40","76.60","77.10","-0.20","2,595",
"110/10/06","4,490,763","347,071,235","77.10","77.70","76.80","77.50","+0.40","2,223",
"110/10/07","6,555,869","514,982,631","78.00","79.10","77.90","78.10","+0.60","3,569",
"110/10/08","3,461,939","272,085,685","78.20","79.10","78.10","78.50","+0.40","2,080",
"110/10/12","5,919,223","455,674,622","77.60","77.60","76.30","76.90","-1.60","3,354",
"110/10/13","4,649,788","360,187,323","77.80","78.10","76.80","77.40","+0.50","2,453",
"110/10/14","5,922,053","465,161,720","78.10","78.90","77.80","78.90","+1.50","3,205",
"110/10/15","7,568,897","594,787,310","79.30","79.60","78.20","78.40","-0.50","3,993",
"110/10/18","6,332,664","500,712,599","78.90","79.40","78.50","78.90","+0.50","3,049",
"110/10/19","4,340,666","343,405,320","79.20","79.40","78.60","79.40","+0.50","3,141",
"110/10/20","6,537,175","515,115,351","79.70","79.70","78.20","78.40","-1.00","4,233",
"110/10/21","6,005,775","467,645,564","78.70","78.70","77.60","77.90","-0.50","3,123",
"110/10/22","5,969,690","467,089,440","78.50","78.80","77.90","78.30","+0.40","2,431",
"110/10/25","3,929,551","307,361,732","78.30","78.70","77.80","77.90","-0.40","2,096",
"110/10/26","6,535,074","516,950,084","78.30","79.30","78.20","79.20","+1.30","2,972",
"110/10/27","3,040,364","239,278,848","78.70","79.20","78.40","78.60","-0.60","1,688",
"110/10/28","1,951,836","153,723,776","79.10","79.10","78.50","78.90","+0.30","1,238",
"110/10/29","3,824,054","298,922,437","78.90","78.90","77.80","78.00","-0.90","1,958",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

