"10303る 2457 Щ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/03/03","2,592,648","55,206,916","21.50","21.55","21.15","21.25","-0.30","1,029",
"103/03/04","1,957,897","41,318,441","21.20","21.50","20.95","21.00","-0.25","728",
"103/03/05","1,848,625","39,004,802","21.35","21.35","21.00","21.00"," 0.00","639",
"103/03/06","5,282,066","114,874,873","21.20","22.15","21.05","21.95","+0.95","1,912",
"103/03/07","11,749,736","262,047,378","22.25","22.65","21.50","21.50","-0.45","4,137",
"103/03/10","1,413,899","30,037,753","21.50","21.50","21.05","21.20","-0.30","691",
"103/03/11","1,151,634","24,741,659","21.30","21.65","21.25","21.50","+0.30","664",
"103/03/12","1,008,390","21,650,723","21.50","21.70","21.30","21.35","-0.15","463",
"103/03/13","1,548,165","33,139,432","21.40","21.70","21.20","21.20","-0.15","631",
"103/03/14","1,278,059","27,061,393","21.10","21.35","21.05","21.20"," 0.00","586",
"103/03/17","835,815","17,722,715","21.20","21.35","21.10","21.10","-0.10","396",
"103/03/18","1,201,308","25,724,972","21.20","21.65","21.20","21.40","+0.30","535",
"103/03/19","1,770,136","37,214,229","21.40","21.40","20.85","20.90","-0.50","858",
"103/03/20","1,937,461","39,698,649","20.75","20.75","20.30","20.50","-0.40","646",
"103/03/21","1,019,771","20,950,000","20.70","20.75","20.35","20.60","+0.10","418",
"103/03/24","1,553,255","31,072,763","20.40","20.40","19.75","20.00","-0.60","839",
"103/03/25","1,008,244","20,479,330","19.95","20.45","19.95","20.35","+0.35","541",
"103/03/26","1,460,944","30,316,501","20.50","21.00","20.45","20.75","+0.40","715",
"103/03/27","759,851","15,621,716","20.55","20.85","20.40","20.45","-0.30","444",
"103/03/28","723,917","14,794,794","20.45","20.65","20.20","20.35","-0.10","369",
"103/03/31","493,849","10,098,976","20.35","20.55","20.35","20.55","+0.20","306",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

