"106年04月 2457 飛宏             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/04/05","19,324,677","292,285,156","15.10","15.40","14.70","15.35","+0.25","5,589",
"106/04/06","64,973,353","1,001,731,699","15.45","16.35","14.30","14.60","-0.75","16,420",
"106/04/07","24,954,236","355,526,291","14.70","14.75","13.80","14.45","-0.15","6,444",
"106/04/10","15,667,387","231,361,158","14.60","15.15","14.35","14.55","+0.10","4,897",
"106/04/11","15,341,992","223,314,910","14.80","15.05","14.00","14.00","-0.55","4,215",
"106/04/12","13,787,003","194,071,815","14.10","14.50","13.50","14.15","+0.15","4,094",
"106/04/13","9,163,419","129,882,216","14.35","14.60","13.85","13.85","-0.30","3,152",
"106/04/14","13,063,097","183,659,778","13.85","14.45","13.55","13.90","+0.05","3,856",
"106/04/17","26,330,772","389,280,460","14.55","15.25","14.30","15.25","+1.35","7,122",
"106/04/18","43,962,278","666,252,211","15.65","15.70","14.65","14.65","-0.60","10,456",
"106/04/19","11,011,236","158,241,067","14.55","14.55","14.20","14.20","-0.45","3,280",
"106/04/20","14,641,403","212,535,424","14.25","14.80","14.20","14.35","+0.15","4,393",
"106/04/21","13,828,732","203,869,870","14.75","14.95","14.60","14.60","+0.25","3,550",
"106/04/24","7,512,136","109,714,812","14.70","14.80","14.35","14.80","+0.20","2,327",
"106/04/25","16,168,376","245,250,152","15.00","15.45","14.95","15.25","+0.45","4,339",
"106/04/26","19,860,990","306,498,830","15.30","15.85","15.00","15.55","+0.30","5,323",
"106/04/27","30,028,313","472,049,136","15.60","16.10","15.10","15.10","-0.45","8,349",
"106/04/28","19,978,937","294,669,469","14.90","15.15","14.50","14.50","-0.60","6,002",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

