"10402る 2515 い             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/02/02","1,036,682","7,817,849","7.54","7.58","7.52","7.52","-0.04","233",
"104/02/03","2,267,308","17,012,985","7.52","7.53","7.49","7.50","-0.02","403",
"104/02/04","1,663,264","12,510,369","7.53","7.56","7.49","7.54","+0.04","379",
"104/02/05","1,279,145","9,597,557","7.54","7.54","7.48","7.49","-0.05","260",
"104/02/06","1,010,632","7,584,558","7.52","7.53","7.49","7.50","+0.01","255",
"104/02/09","1,528,844","11,445,903","7.50","7.52","7.46","7.46","-0.04","312",
"104/02/10","1,069,910","8,008,573","7.47","7.51","7.45","7.48","+0.02","576",
"104/02/11","3,863,874","29,285,512","7.52","7.61","7.52","7.58","+0.10","753",
"104/02/12","1,221,595","9,244,958","7.60","7.60","7.54","7.55","-0.03","298",
"104/02/13","3,103,024","23,563,751","7.57","7.61","7.57","7.60","+0.05","644",
"104/02/24","3,656,274","27,914,889","7.60","7.66","7.60","7.64","+0.04","742",
"104/02/25","3,604,293","27,656,689","7.64","7.70","7.64","7.66","+0.02","601",
"104/02/26","1,920,055","14,727,753","7.68","7.69","7.64","7.69","+0.03","509",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

