"107年04月 2515 中工             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/04/02","23,461,184","191,925,059","8.04","8.30","7.97","8.21","+0.21","4,446",
"107/04/03","9,915,488","80,660,083","8.24","8.24","8.09","8.10","-0.11","1,960",
"107/04/09","12,027,681","96,257,963","8.10","8.17","7.92","7.92","-0.18","3,066",
"107/04/10","6,951,910","54,989,946","7.92","7.99","7.85","7.85","-0.07","1,935",
"107/04/11","4,544,751","35,726,122","7.89","7.92","7.81","7.85"," 0.00","1,182",
"107/04/12","3,333,824","26,281,000","7.86","7.91","7.84","7.91","+0.06","809",
"107/04/13","5,858,451","46,054,343","7.98","7.98","7.82","7.83","-0.08","1,555",
"107/04/16","7,406,161","57,725,149","7.81","7.90","7.75","7.75","-0.08","1,704",
"107/04/17","8,433,593","64,609,014","7.75","7.80","7.56","7.56","-0.19","2,090",
"107/04/18","5,454,236","41,418,107","7.61","7.65","7.56","7.56"," 0.00","1,214",
"107/04/19","3,161,978","24,192,110","7.64","7.70","7.61","7.64","+0.08","1,028",
"107/04/20","3,330,460","25,368,880","7.62","7.65","7.60","7.60","-0.04","735",
"107/04/23","3,557,882","27,243,497","7.61","7.72","7.60","7.69","+0.09","934",
"107/04/24","4,142,538","31,452,528","7.69","7.69","7.55","7.55","-0.14","946",
"107/04/25","3,045,686","22,942,941","7.52","7.58","7.49","7.55"," 0.00","867",
"107/04/26","4,015,565","30,086,615","7.57","7.61","7.41","7.41","-0.14","953",
"107/04/27","1,769,584","13,184,126","7.45","7.49","7.42","7.44","+0.03","509",
"107/04/30","2,868,947","21,652,198","7.49","7.59","7.43","7.59","+0.15","827",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

