"111年09月 2606 裕民             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/09/01","3,182,716","119,489,954","37.65","37.80","37.25","37.55","-0.60","2,146",
"111/09/02","6,126,492","228,020,808","38.15","38.20","37.00","37.00","-0.55","3,496",
"111/09/05","3,718,431","137,811,331","37.00","37.60","36.70","36.70","-0.30","2,305",
"111/09/06","3,346,782","123,586,919","36.85","37.35","36.60","36.85","+0.15","2,022",
"111/09/07","5,204,470","190,137,948","36.50","37.20","35.60","37.20","+0.35","3,208",
"111/09/08","3,954,917","145,810,429","37.25","37.30","36.55","37.00","-0.20","2,277",
"111/09/12","6,477,726","245,785,532","37.10","38.75","37.00","37.90","+0.90","3,386",
"111/09/13","2,462,029","93,787,956","38.40","38.40","37.90","38.00","+0.10","1,469",
"111/09/14","17,392,907","686,623,952","37.40","40.40","37.30","39.85","+1.85","9,081",
"111/09/15","22,915,213","941,889,484","41.90","42.40","40.40","40.55","+0.70","12,794",
"111/09/16","8,502,704","347,676,212","40.60","41.20","40.25","41.05","+0.50","4,762",
"111/09/19","7,734,120","304,085,484","40.90","40.90","38.70","39.00","-2.05","4,875",
"111/09/20","2,477,281","97,498,365","39.20","39.70","39.10","39.25","+0.25","1,565",
"111/09/21","21,733,851","892,400,273","41.00","41.75","40.10","41.10","+1.85","11,959",
"111/09/22","15,170,049","620,098,356","41.10","41.45","40.30","40.45","-0.65","8,539",
"111/09/23","10,131,777","417,270,459","40.60","41.50","40.60","41.10","+0.65","5,952",
"111/09/26","11,003,723","430,366,552","40.90","41.05","38.30","38.45","-2.65","6,623",
"111/09/27","4,953,168","193,066,802","38.65","39.45","38.60","39.10","+0.65","2,624",
"111/09/28","7,163,662","266,926,402","39.00","39.00","36.65","36.65","-2.45","4,421",
"111/09/29","5,098,839","188,018,576","37.00","37.30","36.35","36.80","+0.15","2,926",
"111/09/30","5,464,845","196,141,347","35.85","36.70","35.15","36.50","-0.30","3,091",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

