"110年08月 2609 陽明             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/08/02","38,357,210","4,446,238,023","114.50","125.00","110.00","120.00","+3.00","14,174",
"110/08/03","32,839,374","4,115,748,384","120.50","128.00","120.50","126.00","+6.00","11,753",
"110/08/04","23,621,111","3,050,368,096","127.00","131.00","127.00","129.00","+3.00","9,839",
"110/08/05","22,375,859","2,831,460,466","129.00","129.00","125.50","125.50","-3.50","7,576",
"110/08/06","25,854,325","3,421,452,083","126.00","135.00","126.00","131.00","+5.50","11,698",
"110/08/09","19,215,184","2,571,346,729","131.50","135.50","131.50","132.50","+1.50","7,273",
"110/08/10","29,118,122","3,775,421,651","134.00","134.00","126.00","130.00","-2.50","9,335",
"110/08/11","33,609,261","4,111,366,128","126.50","127.00","117.00","125.00","-5.00","12,931",
"110/08/12","315,314,705","40,287,624,802","124.50","133.50","121.00","133.50","+8.50","118,434",
"110/08/13","457,392,302","62,133,280,280","133.00","140.00","131.00","133.00","-0.50","180,689",
"110/08/16","302,376,585","39,853,392,553","135.00","136.50","125.00","126.00","-7.00","122,425",
"110/08/17","187,972,500","24,001,265,341","129.00","131.00","123.00","124.50","-1.50","81,289",
"110/08/18","325,683,248","42,428,534,457","123.50","136.50","121.00","136.50","+12.00","142,925",
"110/08/19","348,450,855","46,107,230,600","135.00","137.50","126.00","126.50","-10.00","162,153",
"110/08/20","186,507,131","24,047,947,969","129.50","131.50","126.00","130.50","+4.00","83,289",
"110/08/23","277,174,770","38,774,782,606","134.50","143.00","134.50","139.50","+9.00","128,920",
"110/08/24","228,328,850","31,662,826,100","143.50","144.00","134.00","134.50","-5.00","109,997",
"110/08/25","130,787,471","17,799,279,411","135.50","139.50","132.50","138.50","+4.00","63,381",
"110/08/26","150,047,479","20,658,294,958","138.50","142.00","134.00","140.00","+1.50","69,383",
"110/08/27","134,991,647","18,579,390,988","137.00","141.00","135.00","137.00","-3.00","65,042",
"110/08/30","69,277,634","9,553,051,326","138.50","140.00","136.00","136.00","-1.00","30,980",
"110/08/31","121,512,169","16,248,263,294","136.50","138.00","130.50","133.50","-2.50","55,384",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

