"109年11月 2610 華航             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/11/02","12,535,729","108,560,100","8.75","8.78","8.62","8.63","-0.12","3,049",
"109/11/03","7,769,982","67,142,794","8.64","8.68","8.60","8.65","+0.02","2,018",
"109/11/04","8,130,216","70,544,828","8.70","8.75","8.58","8.68","+0.03","2,312",
"109/11/05","13,278,420","114,528,695","8.70","8.74","8.58","8.58","-0.10","4,313",
"109/11/06","55,201,519","457,013,833","8.20","8.39","8.20","8.32","-0.26","12,647",
"109/11/09","21,256,670","178,538,300","8.30","8.48","8.29","8.41","+0.09","5,113",
"109/11/10","82,643,001","764,447,690","9.25","9.25","9.25","9.25","+0.84","11,696",
"109/11/11","149,137,565","1,342,793,156","9.17","9.18","8.80","9.10","-0.15","34,800",
"109/11/12","34,835,678","315,400,380","9.00","9.19","8.97","9.01","-0.09","7,233",
"109/11/13","23,016,429","204,725,074","9.01","9.04","8.80","8.88","-0.13","5,145",
"109/11/16","16,875,085","150,454,461","8.98","8.99","8.89","8.91","+0.03","3,965",
"109/11/17","47,273,192","429,825,224","9.15","9.15","9.02","9.05","+0.14","14,942",
"109/11/18","53,724,871","493,148,547","9.08","9.30","9.04","9.22","+0.17","11,957",
"109/11/19","21,636,861","198,189,651","9.22","9.22","9.12","9.14","-0.08","4,644",
"109/11/20","17,754,280","161,713,974","9.14","9.18","9.08","9.10","-0.04","4,494",
"109/11/23","20,724,236","188,493,239","9.11","9.15","9.06","9.09","-0.01","5,096",
"109/11/24","56,345,954","521,145,853","9.13","9.34","9.09","9.24","+0.15","12,417",
"109/11/25","173,275,942","1,692,657,009","9.43","10.05","9.32","9.88","+0.64","30,225",
"109/11/26","94,979,488","950,244,859","9.93","10.10","9.90","10.00","+0.12","16,745",
"109/11/27","51,172,559","510,833,814","10.05","10.10","9.90","10.05","+0.05","11,118",
"109/11/30","53,568,716","532,083,176","10.00","10.10","9.78","9.78","-0.27","11,378",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

