"112年08月 2615 萬海             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/08/01","4,208,594","214,894,745","50.50","51.40","50.50","51.10","+0.70","2,341",
"112/08/02","4,241,674","215,106,799","50.70","51.50","50.10","51.10"," 0.00","3,908",
"112/08/04","4,910,623","252,788,045","51.10","51.80","51.10","51.60","+0.50","2,935",
"112/08/07","4,449,476","224,467,000","51.20","51.20","50.20","50.50","-1.10","3,471",
"112/08/08","5,279,657","264,777,804","50.70","50.80","49.65","50.10","-0.40","3,820",
"112/08/09","2,576,730","129,062,557","50.40","50.60","49.80","50.10"," 0.00","2,246",
"112/08/10","4,214,612","210,324,329","50.10","50.30","49.35","50.10"," 0.00","3,185",
"112/08/11","5,737,522","286,819,071","50.10","50.60","49.20","50.60","+0.50","3,603",
"112/08/14","3,431,722","170,684,168","50.60","50.60","49.50","49.50","-1.10","2,799",
"112/08/15","3,639,649","179,204,624","49.95","49.95","48.90","49.00","-0.50","3,109",
"112/08/16","7,791,403","371,892,768","48.50","48.80","47.30","47.60","-1.40","5,548",
"112/08/17","7,842,542","370,860,280","47.30","48.00","46.10","47.90","+0.30","5,556",
"112/08/18","15,538,987","784,166,841","48.00","51.80","47.75","50.50","+2.60","10,504",
"112/08/21","6,613,990","328,371,009","50.50","50.50","49.15","49.30","-1.20","5,160",
"112/08/22","6,136,590","299,311,063","49.50","49.50","48.25","48.70","-0.60","4,003",
"112/08/23","7,813,066","376,020,246","49.00","49.65","47.45","47.55","-1.15","5,218",
"112/08/24","10,525,882","489,918,012","47.80","47.80","46.00","46.00","-1.55","7,968",
"112/08/25","4,332,092","199,559,714","45.90","46.45","45.70","45.90","-0.10","3,182",
"112/08/28","3,309,938","151,881,290","46.00","46.35","45.25","46.10","+0.20","2,502",
"112/08/29","6,961,236","317,005,801","46.00","46.10","45.35","45.35","-0.75","4,916",
"112/08/30","3,267,177","149,542,008","45.60","45.90","45.45","45.85","+0.50","2,439",
"112/08/31","6,797,782","309,899,236","46.15","46.55","45.30","45.30","-0.55","3,130",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

