"109年09月 2634 漢翔             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/09/01","20,462,697","646,604,531","32.20","32.50","30.85","31.20","-0.80","8,521",
"109/09/02","7,287,605","223,910,105","31.20","31.30","30.50","30.85","-0.35","3,580",
"109/09/03","5,734,969","176,930,437","30.95","31.20","30.55","30.65","-0.20","2,639",
"109/09/04","5,554,534","167,735,227","30.15","30.50","30.00","30.25","-0.40","2,504",
"109/09/07","3,833,486","116,779,517","30.20","30.70","30.20","30.40","+0.15","1,712",
"109/09/08","2,875,251","87,133,249","30.75","30.75","30.15","30.25","-0.15","1,406",
"109/09/09","2,934,249","87,791,373","30.00","30.10","29.75","30.00","-0.25","1,248",
"109/09/10","2,725,480","81,722,750","30.25","30.35","29.85","29.85","-0.15","1,314",
"109/09/11","2,568,448","76,423,211","29.90","29.95","29.60","29.70","-0.15","1,190",
"109/09/14","2,500,196","73,537,615","29.80","29.80","29.25","29.40","-0.30","1,265",
"109/09/15","1,229,390","36,266,994","29.40","29.65","29.30","29.55","+0.15","709",
"109/09/16","1,424,556","42,280,005","29.60","29.85","29.55","29.75","+0.20","734",
"109/09/17","1,437,069","42,633,201","29.75","29.80","29.55","29.55","-0.20","719",
"109/09/18","1,846,507","55,010,373","29.55","29.95","29.50","29.80","+0.25","971",
"109/09/21","2,646,497","79,420,155","29.85","30.25","29.80","29.80"," 0.00","1,287",
"109/09/22","1,729,700","50,782,974","29.80","29.80","29.20","29.30","-0.50","996",
"109/09/23","1,615,910","47,060,217","29.30","29.45","29.00","29.00","-0.30","883",
"109/09/24","3,908,969","110,935,568","28.70","28.80","28.00","28.05","-0.95","2,070",
"109/09/25","2,737,516","76,804,419","28.15","28.40","27.80","28.00","-0.05","1,248",
"109/09/28","1,437,506","40,780,218","28.15","28.60","28.15","28.40","+0.40","604",
"109/09/29","936,723","26,608,409","28.35","28.70","28.20","28.50","+0.10","548",
"109/09/30","584,636","16,608,238","28.50","28.50","28.30","28.35","-0.15","344",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

