"109年12月 2867 三商壽           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/12/01","4,380,944","37,762,814","8.67","8.67","8.59","8.63","-0.07","1,140",
"109/12/02","3,504,477","30,071,029","8.63","8.63","8.56","8.57","-0.06","1,336",
"109/12/03","3,532,970","30,193,528","8.57","8.59","8.52","8.52","-0.05","1,308",
"109/12/04","2,592,970","22,133,137","8.52","8.57","8.52","8.53","+0.01","960",
"109/12/07","1,766,284","15,133,151","8.55","8.59","8.55","8.56","+0.03","825",
"109/12/08","4,930,632","41,717,434","8.55","8.55","8.42","8.43","-0.13","1,475",
"109/12/09","6,465,478","53,954,768","8.43","8.43","8.31","8.33","-0.10","1,732",
"109/12/10","14,876,522","121,441,544","8.25","8.25","8.10","8.17","-0.16","7,709",
"109/12/11","7,551,064","62,002,511","8.17","8.27","8.17","8.20","+0.03","2,920",
"109/12/14","4,569,658","37,337,985","8.20","8.23","8.14","8.16","-0.04","1,778",
"109/12/15","6,555,198","52,883,300","8.16","8.16","8.02","8.02","-0.14","2,505",
"109/12/16","4,672,127","37,794,620","8.05","8.14","8.04","8.13","+0.11","1,671",
"109/12/17","6,632,762","54,849,276","8.15","8.38","8.13","8.34","+0.21","2,066",
"109/12/18","5,161,682","42,865,529","8.34","8.42","8.24","8.30","-0.04","1,724",
"109/12/21","3,189,541","26,396,653","8.31","8.32","8.24","8.30"," 0.00","983",
"109/12/22","3,803,723","31,631,080","8.30","8.40","8.24","8.26","-0.04","1,155",
"109/12/23","2,973,699","24,474,342","8.27","8.30","8.20","8.24","-0.02","927",
"109/12/24","2,414,081","19,940,497","8.25","8.29","8.25","8.27","+0.03","686",
"109/12/25","3,033,977","25,251,413","8.28","8.35","8.28","8.32","+0.05","879",
"109/12/28","2,728,538","22,765,877","8.34","8.37","8.30","8.36","+0.04","1,031",
"109/12/29","6,532,860","55,050,354","8.37","8.48","8.37","8.42","+0.06","1,687",
"109/12/30","15,359,517","133,486,421","8.46","8.84","8.46","8.77","+0.35","4,308",
"109/12/31","7,811,573","67,723,833","8.79","8.82","8.59","8.62","-0.15","2,247",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

