"111年03月 2882 國泰金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/03/01","25,902,917","1,611,595,335","61.70","62.70","61.50","62.60","+0.30","9,804",
"111/03/02","18,856,628","1,168,490,086","62.10","62.20","61.80","62.00","-0.60","8,885",
"111/03/03","13,494,434","838,092,454","62.30","62.50","62.00","62.10","+0.10","6,206",
"111/03/04","22,375,501","1,373,740,843","61.80","61.80","61.20","61.20","-0.90","11,534",
"111/03/07","52,085,088","3,088,045,680","60.40","60.50","58.80","59.40","-1.80","25,960",
"111/03/08","51,970,716","3,033,149,591","58.20","58.80","58.00","58.50","-0.90","22,906",
"111/03/09","18,361,063","1,083,953,551","59.00","59.40","58.60","59.00","+0.50","11,459",
"111/03/10","22,169,794","1,332,459,912","59.50","60.50","59.50","60.30","+1.30","11,285",
"111/03/11","12,249,752","738,733,829","60.20","60.60","59.90","60.30"," 0.00","6,775",
"111/03/14","14,539,303","888,375,356","60.70","61.50","60.60","61.20","+0.90","5,717",
"111/03/15","16,334,901","999,369,129","61.30","61.50","60.90","61.30","+0.10","5,993",
"111/03/16","22,127,986","1,365,710,975","61.70","62.00","61.40","62.00","+0.70","8,076",
"111/03/17","35,516,192","2,233,886,318","62.50","63.20","62.40","63.10","+1.10","12,616",
"111/03/18","28,333,290","1,794,971,070","63.40","63.80","63.10","63.30","+0.20","6,489",
"111/03/21","16,831,198","1,068,048,371","63.30","63.80","63.20","63.60","+0.30","5,822",
"111/03/22","11,624,036","737,187,377","63.60","63.60","63.10","63.60"," 0.00","4,490",
"111/03/23","28,231,947","1,826,321,793","64.10","65.00","64.00","64.80","+1.20","11,093",
"111/03/24","17,577,999","1,123,722,245","64.30","64.40","63.60","64.30","-0.50","8,076",
"111/03/25","11,197,434","710,908,063","63.80","64.00","63.50","63.50","-0.80","5,693",
"111/03/28","9,825,309","620,165,942","62.80","63.70","62.60","63.30","-0.20","6,266",
"111/03/29","8,987,469","572,482,635","63.50","63.90","63.30","63.80","+0.50","3,999",
"111/03/30","81,539,261","5,249,585,766","64.10","64.50","64.00","64.40","+0.60","6,266",
"111/03/31","15,100,025","974,339,447","64.50","64.70","64.20","64.50","+0.10","4,915",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

