"112年06月 2886 兆豐金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/06/01","13,733,655","490,951,129","35.75","36.00","35.60","35.85","+0.05","6,081",
"112/06/02","23,257,915","839,150,253","35.85","36.20","35.80","36.10","+0.25","8,018",
"112/06/05","29,596,658","1,087,716,941","36.30","36.90","36.25","36.70","+0.60","10,875",
"112/06/06","17,666,895","646,820,169","36.90","36.90","36.45","36.50","-0.20","10,365",
"112/06/07","17,646,510","650,747,283","36.60","37.00","36.60","37.00","+0.50","9,753",
"112/06/08","16,224,997","602,808,181","37.00","37.30","36.85","37.30","+0.30","9,214",
"112/06/09","16,106,516","605,356,039","37.30","37.75","37.25","37.65","+0.35","7,949",
"112/06/12","16,993,767","642,656,354","37.65","37.95","37.55","37.65"," 0.00","9,727",
"112/06/13","14,626,024","553,435,708","37.70","38.00","37.60","37.75","+0.10","8,049",
"112/06/14","13,165,915","493,873,144","37.70","37.75","37.40","37.50","-0.25","8,988",
"112/06/15","16,180,393","605,318,632","37.35","37.70","37.25","37.40","-0.10","9,060",
"112/06/16","53,897,231","1,990,872,531","37.45","37.45","36.80","36.80","-0.60","13,774",
"112/06/19","48,318,852","1,782,992,420","36.80","37.15","36.50","37.00","+0.20","10,979",
"112/06/20","45,428,598","1,694,499,550","36.85","37.45","36.85","37.45","+0.45","8,961",
"112/06/21","40,083,799","1,508,759,835","37.35","37.75","37.20","37.75","+0.30","7,329",
"112/06/26","39,197,138","1,480,046,944","37.65","37.95","37.35","37.75"," 0.00","9,753",
"112/06/27","12,241,887","460,707,263","37.55","37.90","37.50","37.55","-0.20","6,305",
"112/06/28","15,614,335","591,178,533","37.55","38.00","37.55","37.95","+0.40","6,200",
"112/06/29","26,218,713","1,007,038,430","38.00","38.70","37.90","38.55","+0.60","12,088",
"112/06/30","21,700,299","831,265,273","38.40","38.70","38.10","38.20","-0.35","10,627",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

