"112年03月 2888 新光金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/03/01","39,297,555","344,589,498","8.85","8.85","8.73","8.75","-0.14","6,382",
"112/03/02","17,590,195","153,446,808","8.76","8.79","8.70","8.71","-0.04","4,368",
"112/03/03","14,308,720","124,877,885","8.73","8.75","8.70","8.73","+0.02","3,767",
"112/03/06","23,919,829","209,145,235","8.76","8.78","8.70","8.73"," 0.00","4,730",
"112/03/07","17,326,960","151,735,326","8.74","8.77","8.73","8.77","+0.04","3,271",
"112/03/08","23,612,205","206,211,558","8.76","8.77","8.72","8.74","-0.03","5,560",
"112/03/09","23,209,823","202,326,264","8.74","8.75","8.70","8.70","-0.04","4,920",
"112/03/10","64,935,343","557,726,632","8.66","8.66","8.54","8.54","-0.16","13,968",
"112/03/13","55,930,911","469,604,794","8.49","8.49","8.35","8.40","-0.14","11,468",
"112/03/14","57,072,091","470,564,875","8.31","8.31","8.22","8.22","-0.18","12,961",
"112/03/15","62,032,005","508,831,913","8.24","8.26","8.16","8.17","-0.05","17,230",
"112/03/16","77,037,852","617,458,155","8.10","8.10","7.97","8.01","-0.16","16,044",
"112/03/17","64,673,162","520,152,959","8.05","8.11","8.02","8.02","+0.01","7,212",
"112/03/20","40,379,212","322,423,979","8.01","8.01","7.94","7.99","-0.03","8,201",
"112/03/21","37,058,792","301,425,570","8.08","8.18","8.04","8.15","+0.16","7,056",
"112/03/22","31,478,162","258,983,226","8.19","8.26","8.17","8.26","+0.11","6,457",
"112/03/23","23,799,686","196,415,322","8.21","8.30","8.19","8.29","+0.03","4,741",
"112/03/24","26,509,402","219,360,630","8.29","8.31","8.24","8.30","+0.01","4,337",
"112/03/27","25,821,247","213,567,321","8.30","8.30","8.24","8.27","-0.03","3,878",
"112/03/28","24,572,110","204,013,506","8.26","8.33","8.26","8.30","+0.03","3,846",
"112/03/29","39,434,417","331,537,721","8.30","8.45","8.30","8.42","+0.12","6,113",
"112/03/30","34,331,181","289,195,352","8.47","8.48","8.38","8.43","+0.01","4,568",
"112/03/31","30,683,824","258,883,447","8.43","8.46","8.41","8.42","-0.01","4,198",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

