"108年07月 2890 永豐金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/07/01","17,206,344","223,431,023","13.00","13.05","12.90","13.00","-0.05","4,328",
"108/07/02","16,419,351","213,047,225","12.95","13.00","12.90","13.00"," 0.00","3,645",
"108/07/03","12,515,246","161,596,607","13.00","13.00","12.85","12.90","-0.10","2,304",
"108/07/04","17,513,365","227,112,011","12.90","13.00","12.85","13.00","+0.10","2,872",
"108/07/05","17,976,896","234,333,348","12.95","13.10","12.95","13.05","+0.05","2,489",
"108/07/08","17,062,222","222,038,736","13.05","13.10","12.95","13.05"," 0.00","2,241",
"108/07/09","15,433,991","200,358,784","13.05","13.05","12.95","12.95","-0.10","2,174",
"108/07/10","50,410,020","654,375,849","12.95","13.00","12.90","13.00","+0.05","4,007",
"108/07/11","46,297,101","578,169,737","12.40","12.70","12.40","12.65","X0.00","4,400",
"108/07/12","15,077,668","189,427,649","12.60","12.65","12.50","12.50","-0.15","2,662",
"108/07/15","11,086,789","138,427,416","12.55","12.60","12.40","12.55","+0.05","2,032",
"108/07/16","15,536,960","194,149,018","12.55","12.60","12.45","12.60","+0.05","2,786",
"108/07/17","16,898,145","212,281,069","12.55","12.65","12.45","12.65","+0.05","3,134",
"108/07/18","11,159,950","140,833,467","12.60","12.65","12.55","12.65"," 0.00","1,995",
"108/07/19","17,165,978","218,436,709","12.65","12.85","12.65","12.65"," 0.00","2,029",
"108/07/22","13,717,239","172,868,956","12.65","12.70","12.55","12.60","-0.05","2,069",
"108/07/23","17,782,455","222,050,704","12.60","12.60","12.40","12.50","-0.10","3,258",
"108/07/24","22,153,984","276,695,254","12.50","12.60","12.40","12.45","-0.05","3,182",
"108/07/25","14,978,531","187,274,962","12.45","12.60","12.40","12.60","+0.15","2,859",
"108/07/26","17,330,003","216,219,933","12.55","12.55","12.45","12.45","-0.15","2,844",
"108/07/29","16,473,135","205,051,134","12.45","12.50","12.40","12.45"," 0.00","2,065",
"108/07/30","13,169,176","163,799,124","12.45","12.50","12.40","12.45"," 0.00","2,082",
"108/07/31","19,446,123","241,778,881","12.40","12.50","12.40","12.40","-0.05","2,811",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

