"108年06月 3008 大立光           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/06/03","1,148,063","4,219,585,620","3,665.00","3,775.00","3,580.00","3,735.00","-35.00","1,379",
"108/06/04","548,150","2,030,447,000","3,740.00","3,785.00","3,640.00","3,665.00","-70.00","806",
"108/06/05","982,236","3,647,666,400","3,780.00","3,810.00","3,615.00","3,615.00","-50.00","1,161",
"108/06/06","2,759,335","9,394,145,850","3,255.00","3,510.00","3,255.00","3,470.00","-145.00","2,630",
"108/06/10","1,207,618","4,244,921,849","3,550.00","3,555.00","3,470.00","3,520.00","+50.00","1,121",
"108/06/11","902,904","3,228,299,400","3,480.00","3,610.00","3,465.00","3,575.00","+55.00","1,088",
"108/06/12","1,012,859","3,637,500,220","3,570.00","3,640.00","3,535.00","3,575.00"," 0.00","1,419",
"108/06/13","1,497,714","5,481,350,370","3,645.00","3,710.00","3,610.00","3,680.00","+105.00","1,516",
"108/06/14","734,476","2,689,537,400","3,650.00","3,710.00","3,620.00","3,630.00","-50.00","938",
"108/06/17","583,298","2,163,810,480","3,635.00","3,740.00","3,625.00","3,735.00","+105.00","679",
"108/06/18","652,995","2,440,571,425","3,750.00","3,780.00","3,705.00","3,705.00","-30.00","796",
"108/06/19","1,361,687","5,359,435,825","3,900.00","3,985.00","3,865.00","3,985.00","+280.00","1,638",
"108/06/20","805,362","3,165,412,660","3,965.00","3,965.00","3,895.00","3,910.00","-75.00","939",
"108/06/21","730,178","2,828,273,960","3,940.00","3,950.00","3,810.00","3,810.00","-100.00","929",
"108/06/24","510,609","1,958,191,830","3,820.00","3,870.00","3,790.00","3,845.00","+35.00","564",
"108/06/25","469,343","1,769,586,975","3,845.00","3,855.00","3,715.00","3,730.00","-115.00","546",
"108/06/26","410,109","1,527,351,570","3,715.00","3,760.00","3,700.00","3,700.00","-30.00","597",
"108/06/27","1,103,279","4,257,565,310","3,750.00","3,900.00","3,750.00","3,885.00","+185.00","1,166",
"108/06/28","561,039","2,165,265,345","3,870.00","3,885.00","3,825.00","3,855.00","-30.00","744",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

