"111年01月 3035 智原             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/01/03","21,978,122","5,079,193,591","240.00","241.00","225.50","226.00","-13.00","21,498",
"111/01/04","21,609,343","4,868,429,158","229.50","232.50","221.00","221.00","-5.00","14,283",
"111/01/05","19,817,529","4,366,557,533","221.50","224.50","217.00","218.50","-2.50","13,403",
"111/01/06","21,390,084","4,507,622,340","213.00","215.50","206.00","211.00","-7.50","14,403",
"111/01/07","41,252,054","8,603,627,775","220.00","220.00","199.00","199.00","-12.00","25,576",
"111/01/10","42,723,705","8,897,856,976","197.00","218.50","195.50","207.00","+8.00","25,818",
"111/01/11","25,432,410","5,125,016,958","204.00","207.00","198.00","199.00","-8.00","17,232",
"111/01/12","29,095,195","5,836,676,709","205.00","206.50","195.00","200.50","+1.50","17,621",
"111/01/13","28,215,480","5,575,224,956","198.50","201.00","192.00","200.50"," 0.00","17,011",
"111/01/14","44,835,726","9,221,072,112","200.50","219.50","196.50","213.00","+12.50","27,982",
"111/01/17","38,841,682","8,231,015,114","210.00","215.00","207.50","214.50","+1.50","26,663",
"111/01/18","37,905,294","8,162,890,264","216.00","220.50","209.00","209.00","-5.50","24,536",
"111/01/19","32,279,864","6,849,811,325","205.00","215.00","205.00","215.00","+6.00","20,221",
"111/01/20","33,195,436","7,189,012,384","216.50","219.00","213.50","219.00","+4.00","21,945",
"111/01/21","20,600,024","4,442,164,525","215.00","217.50","214.00","216.00","-3.00","12,481",
"111/01/24","29,357,394","6,203,767,631","215.50","217.50","204.00","213.50","-2.50","18,983",
"111/01/25","31,370,203","6,593,211,941","211.00","215.00","203.50","205.50","-8.00","21,904",
"111/01/26","26,531,354","5,425,504,698","205.00","210.00","198.50","199.50","-6.00","16,421",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

