"112年07月 3037 欣興             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/07/03","17,003,405","3,033,450,458","177.50","181.00","173.50","179.50","+3.50","11,336",
"112/07/04","13,063,588","2,335,819,103","179.50","180.50","176.50","180.00","+0.50","9,235",
"112/07/05","21,064,725","3,804,245,873","180.00","184.50","177.00","178.00","-2.00","14,489",
"112/07/06","34,382,340","5,892,020,058","175.00","175.50","168.00","169.00","-9.00","29,911",
"112/07/07","21,214,744","3,584,887,168","168.00","172.00","166.50","170.00","+1.00","14,888",
"112/07/10","12,532,614","2,117,722,777","171.50","172.00","167.00","167.00","-3.00","9,283",
"112/07/11","11,280,445","1,913,110,278","169.00","171.00","168.50","169.00","+2.00","7,251",
"112/07/12","23,527,395","4,014,659,585","170.50","171.50","168.50","171.00","+2.00","12,225",
"112/07/13","60,499,951","10,530,429,294","168.00","179.00","168.00","175.50","X0.00","33,834",
"112/07/14","57,474,832","10,659,528,133","185.00","188.50","181.00","187.00","+11.50","37,721",
"112/07/17","37,582,146","6,959,222,251","189.00","191.00","182.00","182.00","-5.00","51,676",
"112/07/18","92,145,431","17,848,816,430","184.00","200.00","183.00","200.00","+18.00","64,744",
"112/07/19","97,121,697","19,714,844,981","206.00","208.00","197.00","203.00","+3.00","67,104",
"112/07/20","48,554,009","9,690,091,066","203.00","205.50","195.00","196.50","-6.50","37,922",
"112/07/21","41,209,005","7,859,232,153","189.50","193.50","188.00","190.50","-6.00","34,233",
"112/07/24","46,989,376","9,296,341,400","192.00","201.50","190.50","199.50","+9.00","34,285",
"112/07/25","74,145,236","14,952,789,059","202.50","208.00","195.00","195.50","-4.00","52,033",
"112/07/26","60,888,446","12,197,980,079","200.00","204.50","195.50","197.50","+2.00","41,909",
"112/07/27","50,246,010","9,644,690,170","190.00","196.50","189.50","190.50","-7.00","44,773",
"112/07/28","30,428,913","5,791,407,212","191.50","193.00","188.00","191.00","+0.50","28,693",
"112/07/31","32,636,315","6,110,139,181","193.00","194.00","183.50","184.50","-6.50","25,880",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

