"107年10月 3049 和鑫             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/10/01","437,801","3,266,940","7.53","7.53","7.44","7.45","-0.01","177",
"107/10/02","685,483","5,088,952","7.53","7.53","7.38","7.40","-0.05","222",
"107/10/03","1,146,820","8,383,608","7.40","7.40","7.26","7.26","-0.14","331",
"107/10/04","1,101,234","7,851,551","7.23","7.23","7.07","7.17","-0.09","360",
"107/10/05","1,279,969","8,995,476","7.12","7.12","6.97","7.03","-0.14","374",
"107/10/08","501,236","3,536,702","6.98","7.17","6.98","7.03"," 0.00","201",
"107/10/09","652,686","4,577,313","7.06","7.06","6.99","7.02","-0.01","237",
"107/10/11","2,170,562","13,738,965","6.32","6.39","6.32","6.32","-0.70","611",
"107/10/12","1,136,073","7,114,565","6.21","6.37","6.01","6.32"," 0.00","426",
"107/10/15","740,855","4,698,614","6.77","6.77","6.23","6.23","-0.09","284",
"107/10/16","457,771","2,869,358","6.14","6.32","6.14","6.27","+0.04","181",
"107/10/17","508,995","3,213,735","6.27","6.39","6.25","6.28","+0.01","208",
"107/10/18","279,046","1,747,272","6.30","6.32","6.23","6.24","-0.04","120",
"107/10/19","571,617","3,499,949","6.23","6.23","6.09","6.11","-0.13","218",
"107/10/22","427,400","2,611,884","6.10","6.19","6.01","6.12","+0.01","209",
"107/10/23","461,806","2,804,562","6.12","6.12","6.04","6.10","-0.02","168",
"107/10/24","868,493","5,215,508","6.09","6.09","5.96","6.00","-0.10","246",
"107/10/25","837,424","4,804,942","5.90","5.90","5.64","5.64","-0.36","334",
"107/10/26","663,537","3,714,957","5.70","5.79","5.50","5.56","-0.08","228",
"107/10/29","590,965","3,251,760","5.57","5.57","5.41","5.47","-0.09","200",
"107/10/30","460,831","2,506,781","5.46","5.52","5.37","5.43","-0.04","248",
"107/10/31","788,306","4,432,937","5.51","5.78","5.49","5.75","+0.32","294",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

