"10206る 3189 春河             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/06/03","1,616,173","174,250,184","106.00","108.50","105.50","108.00"," 0.00","1,173",
"102/06/04","1,463,431","155,810,468","108.50","108.50","105.50","105.50","-2.50","1,025",
"102/06/05","2,353,362","251,088,596","106.50","108.00","105.00","108.00","+2.50","1,297",
"102/06/06","1,965,524","208,470,068","107.00","107.50","105.00","107.00","-1.00","1,235",
"102/06/07","1,961,250","207,336,000","105.50","107.50","103.50","104.00","-3.00","1,033",
"102/06/10","4,334,620","474,411,700","105.50","111.00","105.00","110.00","+6.00","2,000",
"102/06/11","1,647,686","179,884,930","110.50","110.50","108.50","108.50","-1.50","924",
"102/06/13","2,331,285","248,332,710","107.50","109.00","104.50","106.00","-2.50","1,290",
"102/06/14","3,772,747","410,803,423","107.50","109.50","107.00","109.00","+3.00","2,134",
"102/06/17","5,808,446","665,623,450","111.50","116.50","111.00","116.50","+7.50","3,101",
"102/06/18","5,200,995","595,868,798","116.50","116.50","112.00","115.50","-1.00","3,062",
"102/06/19","3,292,135","377,347,821","115.50","116.50","113.00","113.50","-2.00","2,269",
"102/06/20","3,076,074","341,838,677","112.00","113.00","109.00","109.50","-4.00","1,846",
"102/06/21","3,907,583","429,091,587","105.50","112.50","105.50","112.50","+3.00","2,012",
"102/06/24","3,312,490","372,031,390","113.00","113.50","110.50","110.50","-2.00","2,039",
"102/06/25","2,965,600","326,490,900","111.50","112.00","108.00","108.00","-2.50","1,982",
"102/06/26","6,218,948","712,176,541","112.00","115.50","112.00","114.50","+6.50","2,817",
"102/06/27","3,498,918","398,456,652","114.50","115.00","112.50","114.00","-0.50","2,080",
"102/06/28","3,639,877","420,107,478","115.00","117.00","113.50","114.00"," 0.00","2,179",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

