"111年11月 3189 景碩             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/11/01","15,233,700","1,605,050,052","105.50","107.00","104.00","105.00","+0.50","9,506",
"111/11/02","20,265,590","2,175,735,237","105.00","109.00","104.50","107.50","+2.50","11,436",
"111/11/03","16,337,193","1,735,089,190","105.50","107.50","105.00","106.50","-1.00","10,029",
"111/11/04","17,288,550","1,806,529,177","105.50","106.50","103.50","105.00","-1.50","9,992",
"111/11/07","17,572,824","1,816,945,948","104.50","105.00","101.50","104.00","-1.00","10,370",
"111/11/08","28,969,507","3,100,074,385","105.50","109.00","105.00","106.50","+2.50","15,959",
"111/11/09","49,698,872","5,559,869,448","108.00","115.00","108.00","113.50","+7.00","27,905",
"111/11/10","18,112,674","2,030,081,488","111.50","113.50","110.50","113.00","-0.50","10,621",
"111/11/11","42,095,154","5,119,299,477","121.50","124.00","119.00","119.50","+6.50","22,289",
"111/11/14","25,605,434","3,077,637,973","120.00","122.50","118.50","119.00","-0.50","15,325",
"111/11/15","18,237,970","2,178,833,003","119.00","121.50","117.50","121.50","+2.50","11,066",
"111/11/16","14,784,901","1,799,214,006","122.00","123.00","120.00","121.50"," 0.00","8,967",
"111/11/17","15,509,606","1,861,758,909","121.50","123.00","118.00","120.00","-1.50","9,211",
"111/11/18","19,134,013","2,258,797,289","120.50","121.00","115.00","116.00","-4.00","11,269",
"111/11/21","9,152,304","1,075,899,540","116.50","118.50","115.50","117.00","+1.00","4,814",
"111/11/22","8,327,067","976,943,002","117.00","118.50","116.00","118.00","+1.00","5,241",
"111/11/23","7,620,116","898,787,197","119.00","119.50","117.00","117.50","-0.50","4,832",
"111/11/24","8,687,735","1,036,498,363","118.00","120.50","117.50","120.00","+2.50","5,697",
"111/11/25","14,582,420","1,766,414,484","121.00","123.00","119.50","120.50","+0.50","8,705",
"111/11/28","8,456,431","1,022,475,245","119.00","122.50","118.00","122.00","+1.50","5,225",
"111/11/29","9,734,322","1,174,247,828","122.00","122.00","120.00","121.00","-1.00","5,322",
"111/11/30","8,577,272","1,043,607,650","120.00","123.00","120.00","122.50","+1.50","5,414",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

