"10208る 3356 案             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/08/01","1,103,165","181,905,641","165.00","170.50","160.00","162.50","-2.00","866",
"102/08/02","909,858","147,397,138","162.00","164.50","160.00","162.00","-0.50","728",
"102/08/05","905,341","151,075,447","162.00","170.00","160.50","167.00","+5.00","788",
"102/08/06","543,050","90,651,817","167.50","169.00","163.00","167.00"," 0.00","497",
"102/08/07","839,964","134,861,348","165.00","165.50","156.00","158.00","-9.00","641",
"102/08/08","613,940","97,332,042","157.50","160.00","157.50","157.50","-0.50","466",
"102/08/09","1,257,473","190,559,625","157.00","157.00","148.00","151.50","-6.00","927",
"102/08/12","916,248","143,003,436","152.50","157.50","152.50","157.00","+5.50","733",
"102/08/13","773,725","124,931,950","159.50","164.00","159.50","162.50","+5.50","649",
"102/08/14","301,726","48,533,934","162.00","162.00","160.00","160.50","-2.00","274",
"102/08/15","206,891","32,994,169","160.50","160.50","158.00","159.00","-1.50","180",
"102/08/16","432,453","67,004,074","150.00","157.00","150.00","156.50","-2.50","329",
"102/08/19","257,382","40,335,710","156.00","159.50","154.50","155.00","-1.50","259",
"102/08/20","468,127","73,828,247","155.00","160.50","153.50","156.50","+1.50","420",
"102/08/22","772,629","116,804,608","155.50","157.50","147.50","151.00","-5.50","608",
"102/08/23","279,534","42,795,236","154.00","154.00","152.00","153.50","+2.50","271",
"102/08/26","406,050","63,612,872","155.00","158.00","154.00","157.50","+4.00","348",
"102/08/27","703,557","112,403,063","157.50","162.00","155.50","160.00","+2.50","594",
"102/08/28","646,746","100,887,130","158.00","159.00","154.50","156.50","-3.50","673",
"102/08/29","432,616","67,199,771","156.00","158.00","153.50","156.00","-0.50","503",
"102/08/30","187,241","29,283,096","156.00","157.50","155.00","157.50","+1.50","254",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

