"110年06月 3481 群創             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","692,573,531","16,997,817,190","24.80","25.05","24.10","24.10","-0.25","155,526",
"110/06/02","575,469,748","13,681,189,355","24.30","24.70","23.00","23.15","-0.95","131,056",
"110/06/03","443,029,094","10,306,951,187","23.40","23.75","22.65","23.30","+0.15","104,533",
"110/06/04","273,419,614","6,376,413,843","23.10","23.70","23.05","23.15","-0.15","66,664",
"110/06/07","572,790,863","13,609,318,020","23.70","24.35","23.00","23.60","+0.45","125,578",
"110/06/08","240,659,458","5,629,982,108","23.50","23.80","23.15","23.25","-0.35","57,518",
"110/06/09","355,640,553","8,108,567,074","23.20","23.50","22.25","22.30","-0.95","93,684",
"110/06/10","579,551,342","12,457,800,276","22.30","22.45","21.00","21.15","-1.15","149,080",
"110/06/11","330,104,578","7,028,674,780","21.15","21.70","20.80","21.35","+0.20","70,127",
"110/06/15","426,251,820","8,817,322,987","20.85","21.20","20.50","20.55","-0.80","112,264",
"110/06/16","596,646,535","11,575,040,811","20.05","20.05","19.05","19.10","-1.45","164,145",
"110/06/17","554,794,745","11,225,172,906","19.60","21.00","19.50","21.00","+1.90","122,761",
"110/06/18","626,903,100","13,253,419,362","21.10","21.75","20.60","20.60","-0.40","136,527",
"110/06/21","332,241,709","6,879,900,731","20.75","21.05","20.35","20.75","+0.15","74,904",
"110/06/22","261,396,185","5,493,919,948","21.30","21.45","20.65","20.85","+0.10","55,862",
"110/06/23","404,145,338","8,643,416,548","21.15","21.70","20.90","21.50","+0.65","77,415",
"110/06/24","270,689,625","5,837,859,430","21.85","21.95","21.35","21.45","-0.05","52,546",
"110/06/25","227,424,884","4,845,894,265","21.60","21.70","21.00","21.00","-0.45","53,363",
"110/06/28","238,792,181","5,074,052,800","21.25","21.60","20.80","21.35","+0.35","52,691",
"110/06/29","243,080,437","5,069,949,302","21.45","21.45","20.50","20.50","-0.85","63,281",
"110/06/30","167,600,310","3,462,000,524","20.55","20.95","20.20","20.75","+0.25","37,165",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

