"112年02月 3532 台勝科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/02/01","1,032,650","160,915,203","158.00","158.00","154.50","156.00","+0.50","1,061",
"112/02/02","2,406,936","386,121,612","158.50","162.00","157.50","161.50","+5.50","2,132",
"112/02/03","3,799,805","621,911,869","161.50","166.50","160.50","163.00","+1.50","3,185",
"112/02/06","2,159,819","341,450,774","161.50","161.50","155.00","156.00","-7.00","2,583",
"112/02/07","1,092,880","171,997,563","156.00","159.50","155.50","158.50","+2.50","1,310",
"112/02/08","1,602,380","255,932,574","159.50","161.00","158.50","160.00","+1.50","1,268",
"112/02/09","1,095,078","173,912,022","160.00","161.50","157.00","157.00","-3.00","1,115",
"112/02/10","1,121,370","173,650,396","158.00","158.00","154.00","154.00","-3.00","1,022",
"112/02/13","707,125","107,742,215","153.50","153.50","151.00","152.00","-2.00","673",
"112/02/14","367,073","56,176,550","153.50","153.50","152.50","152.50","+0.50","363",
"112/02/15","935,915","141,316,739","152.00","152.50","149.50","151.00","-1.50","866",
"112/02/16","942,703","145,574,135","152.50","156.00","152.00","155.50","+4.50","798",
"112/02/17","566,564","86,880,173","154.00","155.00","152.50","153.00","-2.50","599",
"112/02/20","872,018","135,469,427","153.50","157.00","152.50","156.50","+3.50","836",
"112/02/21","1,142,480","178,679,346","157.50","158.50","155.00","155.50","-1.00","989",
"112/02/22","1,570,134","237,777,095","155.00","155.00","150.50","150.50","-5.00","1,463",
"112/02/23","949,290","144,291,651","152.00","153.00","151.00","152.50","+2.00","815",
"112/02/24","865,925","132,032,916","153.50","155.00","151.00","151.00","-1.50","718",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

