"100年05月 4133 亞諾法           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"100/05/03","475,030","42,542,060","91.50","91.60","88.70","89.00","-2.30","343",
"100/05/04","1,265,180","117,139,836","89.20","94.00","89.10","94.00","+5.00","1,001",
"100/05/05","627,112","58,036,516","94.00","94.00","92.10","92.30","-1.70","438",
"100/05/06","487,000","44,662,300","91.60","93.30","91.00","91.00","-1.30","369",
"100/05/09","365,052","33,080,811","91.50","91.90","90.00","90.10","-0.90","268",
"100/05/10","393,000","35,462,000","90.70","91.80","89.00","89.20","-0.90","308",
"100/05/11","796,108","72,877,728","89.50","93.00","89.00","91.00","+1.80","579",
"100/05/12","411,000","36,918,600","90.30","91.70","89.20","89.30","-1.70","304",
"100/05/13","488,220","43,074,504","89.30","90.00","86.60","88.30","-1.00","358",
"100/05/16","219,119","19,139,964","87.90","88.00","86.80","88.00","-0.30","173",
"100/05/17","274,166","23,781,209","87.50","87.60","86.10","86.30","-1.70","174",
"100/05/18","252,093","21,811,253","86.30","87.10","86.20","86.30"," 0.00","194",
"100/05/19","489,000","43,106,600","86.80","89.30","86.80","87.30","+1.00","387",
"100/05/20","300,000","25,851,500","87.60","87.80","85.00","85.50","-1.80","224",
"100/05/23","345,000","29,850,400","85.00","87.90","84.10","86.50","+1.00","269",
"100/05/24","204,100","17,352,420","86.50","87.00","84.50","85.30","-1.20","165",
"100/05/25","112,014","9,486,297","85.30","85.30","84.10","85.00","-0.30","89",
"100/05/26","234,020","19,910,920","85.50","85.90","84.60","85.00"," 0.00","135",
"100/05/27","145,100","12,289,290","85.10","85.20","84.30","84.60","-0.40","104",
"100/05/30","515,000","42,151,300","84.50","84.50","80.10","80.90","-3.70","406",
"100/05/31","338,000","27,485,100","81.00","82.30","80.50","82.30","+1.40","257",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

