"111年11月 4148 全宇生技-KY      各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/11/01","394,362","21,382,805","52.60","55.10","52.50","54.40","+1.70","360",
"111/11/02","244,652","13,321,235","55.00","55.00","53.80","54.10","-0.30","255",
"111/11/03","142,080","7,665,821","53.10","54.50","53.00","54.20","+0.10","114",
"111/11/04","248,875","13,738,660","54.00","55.90","53.90","55.50","+1.30","196",
"111/11/07","272,243","15,258,538","55.70","56.50","55.30","56.00","+0.50","199",
"111/11/08","363,925","20,778,466","56.30","57.70","56.30","57.10","+1.10","257",
"111/11/09","223,363","12,743,738","57.40","57.50","56.60","56.80","-0.30","168",
"111/11/10","220,369","12,397,752","56.80","57.30","55.60","56.50","-0.30","210",
"111/11/11","660,903","37,245,453","57.00","58.00","55.40","56.40","-0.10","566",
"111/11/14","183,959","10,492,952","56.80","57.50","56.40","56.90","+0.50","162",
"111/11/15","679,050","38,708,415","58.00","59.10","55.30","55.80","-1.10","520",
"111/11/16","1,680,432","99,181,157","56.60","60.80","56.60","60.00","+4.20","1,317",
"111/11/17","1,222,269","74,482,789","59.40","62.60","59.00","60.80","+0.80","984",
"111/11/18","942,189","58,376,902","61.60","63.90","60.00","62.00","+1.20","657",
"111/11/21","497,281","30,518,605","62.90","62.90","60.50","60.50","-1.50","371",
"111/11/22","444,178","26,839,668","61.00","62.10","59.10","59.10","-1.40","404",
"111/11/23","372,302","22,471,371","59.50","61.40","59.30","60.50","+1.40","288",
"111/11/24","212,772","12,867,664","61.40","61.40","60.00","60.30","-0.20","167",
"111/11/25","266,605","16,063,641","60.50","61.50","59.10","59.10","-1.20","225",
"111/11/28","188,252","11,149,077","58.30","60.10","57.60","59.80","+0.70","154",
"111/11/29","588,260","34,522,729","60.30","60.60","58.00","59.00","-0.80","420",
"111/11/30","220,173","13,189,265","59.00","60.60","58.90","59.80","+0.80","191",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

